brand,model,min_price
BAIC,BJ40,2610000
BAIC,U5 Plus,1013000
BAIC,X35,1133000
BAIC,X55,1770000
BAIC,X7,1860000
BAIC,X75,1794000
Belgee,X50,1380990
Belgee,X70,1695714
Changan,Alsvin,774000
Changan,CS35,728900
Changan,CS35 Plus,878900
Changan,CS35 Plus New,1089300
Changan,CS55,999000
Changan,CS55 Plus,857000
Changan,CS75 Plus New,2039900
Changan,CS75FL,1089300
Changan,CS85 Coupe,2039900
Changan,CS95,2609940
Changan,Eado Plus,978900
Changan,Lamore,1628900
Changan,UNI-K,2039900
Changan,UNI-S/CS55 Plus,1238900
Changan,UNI-T,1769900
Changan,UNI-V,1628900
Chery,Arrizo 8,1668000
Chery,Tiggo 4,565900
Chery,Tiggo 4 New,1087900
Chery,Tiggo 4 Pro,993900
Chery,Tiggo 4 Pro New,1652967
Chery,Tiggo 5,996900
Chery,Tiggo 7,926900
Chery,Tiggo 7 Pro,1108900
Chery,Tiggo 7 Pro Max,1304000
Chery,Tiggo 7 Pro Max New,1549900
Chery,Tiggo 7 Pro Plug-In-Hybrid,2450000
Chery,Tiggo 8,1234900
Chery,Tiggo 8 Pro,1778900
Chery,Tiggo 8 Pro Max,1849900
Chery,Tiggo 8 Pro Max New,1714000
Chery,Tiggo 8 Pro Max Restyling,2287892
Chery,Tiggo 9,2850000
Chevrolet,Cobalt,539900
Chevrolet,Nexia,487900
Chevrolet,Spark,537900
DFM,580,759000
DFM,AX7,737400
Datsun,MI-DO,344000
Datsun,ON-DO,244000
Dongfeng,580,759000
Dongfeng,AX7,737400
EXEED,LX,2299900
EXEED,LX New,2028000
EXEED,RX,2850000
EXEED,TXL,1399900
EXEED,TXL New,2448000
EXEED,VX,2946000
EXEED,VX New,3408000
FAW,Bestune B70,1424400
FAW,Bestune B70 New,1799994
FAW,Bestune T55,1446600
FAW,Bestune T77,1539000
FAW,Besturn X40,619300
FAW,Besturn X80,761000
FAW,X40,619300
FAW,X80,714300
Gac,GN8,3399000
Gac,GS3,1299000
Gac,GS5,2099000
Gac,GS8,2399400
Gac,M8,3299999
Geely,Atlas,869900
Geely,Atlas New,1859990
Geely,Atlas Pro,1087596
Geely,Cityray,1709994
Geely,Coolray,919900
Geely,Coolray New,1199990
Geely,Emgrand,1087596
Geely,Emgrand New,1090000
Geely,Emgrand X7,864990
Geely,GS,994990
Geely,Monjaro,2599000
Geely,Okavango,2015514
Geely,Preface New,1859990
Geely,Tugella,2193714
Geely,Tugella New,2193714
Great Wall,Wingle 7,2099000
Haval,Dargo,1679000
Haval,F7,1307400
Haval,F7 New,1679400
Haval,F7x,1299000
Haval,H3,1519000
Haval,H5,958000
Haval,H5 New,2069400
Haval,H6,1078000
Haval,H9,1909300
Haval,H9 New,2759400
Haval,Jolion,689900
Haval,Jolion New,1199000
Haval,M6,1299000
Hyundai,Creta,676000
Hyundai,Creta New,962000
Hyundai,Elantra,863000
Hyundai,Elantra New,1006000
Hyundai,Santa Fe,1869000
Hyundai,Solaris,465000
Hyundai,Sonata,1432000
Hyundai,Tucson,1429000
Hyundai,Tucson New,1481000
JAC,J7,718000
JAC,JS3,718000
JAC,JS6,1475400
JAC,S3,698000
JAC,S5,839000
JAC,S7,709000
JAC,T6,2270000
JAC,T8,2859000
JAC,T8 Pro,3229000
JAC,T9,3599000
JAECOO,J7,1775940
JAECOO,J8,2759400
Jetour,Dashing,1493940
Jetour,T2,2375400
Jetour,X50,1194000
Jetour,X70,1589400
Jetour,X70 Plus,1799940
Jetour,X90 Plus,2087940
Jetta,VA3,840000
Jetta,VS5,1140000
Jetta,VS7,1289400
KAIYI,E5,1039000
KAIYI,X3,1317900
KAIYI,X3 Pro,1350000
KAIYI,X7 Kunlun,1798740
KIA,Ceed,1013000
KIA,Ceed SW,1023000
KIA,Cerato,943990
KIA,K5,1640940
KIA,Rio,623900
KIA,Rio X,759900
KIA,Seltos,920300
KIA,Soul,831200
KIA,Sportage,2309940
KIA,Sportage 5,1709940
Lada,Aura,1559400
Lada,Granta Cross,384300
Lada,Granta Hatchback,268500
Lada,Granta Liftback,268500
Lada,Granta Liftback New,943150
Lada,Granta Sedan,257900
Lada,Granta Sedan Drive Active,348900
Lada,Granta Sedan New,929505
Lada,Granta Sport Liftback,635400
Lada,Granta Sport Sedan,551340
Lada,Granta Sportline,444500
Lada,Granta Sportline Liftback,465900
Lada,Granta Universal,257900
Lada,Largus,348900
Lada,Largus Cross,384300
Lada,Largus Cross New,699310
Lada,Largus New,540310
Lada,Largus Фургон,329000
Lada,Niva,515900
Lada,Niva Legend 3 двери,360200
Lada,Niva Legend 5 дверей,398900
Lada,Niva Off-Road,569900
Lada,Niva Travel,360200
Lada,Vesta Cross,444500
Lada,Vesta Cross New,444500
Lada,Vesta SW,390000
Lada,Vesta SW Cross,433000
Lada,Vesta SW Cross New,433000
Lada,Vesta SW New,390000
Lada,Vesta SW Sportline,1465800
Lada,Vesta Sedan,380900
Lada,Vesta Sedan CNG,465900
Lada,Vesta Sedan New,380900
Lada,Vesta Sport,579900
Lada,Vesta Sportline,1363800
Lada,Xray,380900
Lada,Xray Cross,384300
Lada,ВИС 2349 Бортовая платформа,1156100
Lifan,Murman,844900
Lifan,Solano 2,534900
Lifan,X50,464900
Lifan,X60,594900
Lifan,X70,614000
Livan,S6 Pro,1529940
Livan,X3 Pro,999000
Livan,X6 Pro,1577940
Moskvich,3,999000
Moskvich,6,1249000
Nissan,Qashqai,880000
Nissan,Terrano,619000
