brand,model,min_price
Aito,M5,5540000
Aito,M7,6440000
Aito,M9,7350000
Avatr,11,6050000
Avatr,12,4245000
BAIC,BJ40,2455000
BAIC,BJ40 Plus,3185000
BAIC,BJ60,4283990
BAIC,EU5,1680000
BAIC,U5 Plus,1060000
BAIC,U5 Plus CNG,1580522
BAIC,X35,1050000
BAIC,X55,1390000
BAIC,X7,1330000
BAIC,X75,1790000
BYD,FangChengBao Leopard 5,4380000
BYD,Han,4379000
BYD,Qin Plus,2309900
BYD,Song Pro,2390000
BYD,Tang,4875000
BYD,Yuan Plus,3020000
Belgee,X50,1654990
Belgee,X70,1965990
Changan,Alsvin,1090000
Changan,CS35 Plus,1239900
Changan,CS35 Plus New,2184900
Changan,CS55,1399900
Changan,CS55 Plus,1709000
Changan,CS75 Plus,2360000
Changan,CS75 Plus New,3250000
Changan,CS75FL,1994900
Changan,CS85 Coupe,3234900
Changan,CS95,2809000
Changan,CS95 New,3604900
Changan,Eado Plus,1349000
Changan,Hunter Plus,2809900
Changan,Lamore,1869000
Changan,Raeton Plus,2355000
Changan,UNI-K,2349000
Changan,UNI-K iDD Hybrid,4544000
Changan,UNI-S,2039900
Changan,UNI-T,2199000
Changan,UNI-V,1809000
Chery,Arrizo 8,1299000
Chery,Explore 06,1815000
Chery,Tiggo 4,1240000
Chery,Tiggo 4 Pro,1199000
Chery,Tiggo 7 Pro,1860000
Chery,Tiggo 7 Pro Max,1099000
Chery,Tiggo 7 Pro Max New,1299000
Chery,Tiggo 7 Pro Plug-In-Hybrid,2400000
Chery,Tiggo 7L,1549000
Chery,Tiggo 8,1930000
Chery,Tiggo 8 Pro,1840000
Chery,Tiggo 8 Pro Max,1859000
Chery,Tiggo 8 Pro Max New,2590000
Chery,Tiggo 8 Pro Plug-In-Hybrid,2695000
Chery,Tiggo 8 Pro e+,4135000
Chery,Tiggo 9,3320000
Citroen,Berlingo Multispace,1599000
Citroen,C4,1574000
Citroen,C5 Aircross,2879000
Citroen,C5 Aircross New,1044000
Citroen,C5 X,3599000
Citroen,Jumpy,2414900
Citroen,Spacetourer,3139900
Datsun,MI-DO,425000
Datsun,ON-DO,395000
Dongfeng,580,1149000
Dongfeng,AX7,987900
Dongfeng,Aeolus Shine Max,1679000
Dongfeng,Captain-T,1220000
Dongfeng,DF6,1799000
Dongfeng,DFSK 500,1099000
Dongfeng,DFSK IX5,1390000
Dongfeng,DFSK IX7,2290000
Dongfeng,Shine Max,1399000
EXEED,LX,1799000
EXEED,LX New,2190000
EXEED,RX,3195000
EXEED,TXL,2480000
EXEED,TXL New,3375000
EXEED,VX,3490000
EXEED,VX New,4630000
Evolute,i-JET,4280000
Evolute,i-JOY,2295000
Evolute,i-PRO,1550000
Evolute,i-SKY,2930000
Evolute,i-SPACE,2485000
Evolute,i-VAN,3571900
Exlantix,ET,5810000
FAW,Bestune B70,1595000
FAW,Bestune B70 New,2149990
FAW,Bestune M9,3950000
FAW,Bestune T55,1521000
FAW,Bestune T77,734000
FAW,Bestune T99,2618000
FAW,Besturn X40,1217000
FAW,Besturn X80,1133000
Ford,Ecosport,855900
Ford,Explorer,3068000
Ford,Fiesta Hatchback,572500
Ford,Fiesta Sedan,585500
Ford,Focus Hatchback,757900
Ford,Focus Sedan,770900
Ford,Focus Universal,851900
Ford,Kuga,1503500
Ford,Mondeo,1435600
Ford,Tourneo,2428000
Forthing,M7,4650000
Forthing,T5,1560000
Forthing,T5 Evo,2040000
Forthing,T5 HEV,1920000
Forthing,Yacht,3470000
Foton,Sauvana,1466900
Foton,Tunland,1479900
Foton,Tunland G7,2760000
Gac,GN8,2609000
Gac,GS3,1199000
Gac,GS4 Max,2650000
Gac,GS5,1574000
Gac,GS8,1979000
Gac,GS8 II,3419000
Gac,GS8 Traveller,3540000
Gac,M8,4649999
Geely,Atlas,690000
Geely,Atlas New,1499000
Geely,Atlas Pro,790000
Geely,Cityray,1499000
Geely,Coolray,850000
Geely,Coolray New,1115000
Geely,EX5,3749990
Geely,Emgrand,1119900
Geely,Galaxy L7,2400000
Geely,Icon,2538000
Geely,Monjaro,2899000
Geely,Monjaro New,3099000
Geely,Okavango,1854000
Geely,Okavango New,1899000
Geely,Preface,1990000
Geely,Tugella,1750000
Geely,Tugella New,1950000
Great Wall,POER,2584000
Great Wall,POER King Kong,2494000
Haima,7X,2940000
Haima,8S,2580000
Haval,Dargo,1990000
Haval,Dargo X,2240000
Haval,F7,1049000
Haval,F7 New,1699000
Haval,F7x,1149000
Haval,F7x New,2349000
Haval,H3,1979000
Haval,H5,2759000
Haval,H6,1350000
Haval,H7,3149000
Haval,H7 New,2449000
Haval,H9,3599000
Haval,Jolion,1019000
Haval,Jolion New,1119000
Haval,M6,890000
Honda,CR-V New,2409900
Hongqi,E-HS9,5750000
Hongqi,H5,2610000
Hongqi,H9,6710000
Hongqi,HQ9,6800000
Hongqi,HS3,2140000
Hongqi,HS5,2400000
