brand,model,min_price
BAIC,BJ40,4200000
BAIC,U5 Plus,1060000
BAIC,X35,1050000
BAIC,X55,1490000
BAIC,X7,1690000
BAIC,X75,2195000
Changan,Alsvin,1090000
Changan,CS35 Plus,1249000
Changan,CS55 Plus,1709000
Changan,CS75 Plus,2360000
Changan,CS95,2809000
Changan,Eado Plus,1349000
Changan,Hunter Plus,2829000
Changan,Lamore,1869000
Changan,UNI-K,2349000
Changan,UNI-T,1779000
Changan,UNI-V,1809000
Chery,Arrizo 8,1299000
Chery,Tiggo 4,1399000
Chery,Tiggo 4 Pro,1199000
Chery,Tiggo 7 Pro Max,1099000
Chery,Tiggo 7 Pro Max New,1299000
Chery,Tiggo 8 Pro Max,1859000
Chery,Tiggo 9,3649000
Citroen,C5 Aircross,3199000
Citroen,C5 X,3599000
Dongfeng,580,1149000
Dongfeng,DF6,1949000
Dongfeng,DFSK 500,1099000
Dongfeng,DFSK IX5,1390000
Dongfeng,DFSK IX7,2090000
Dongfeng,Shine Max,1399000
EXEED,LX,1799000
EXEED,LX New,2190000
EXEED,RX,3250000
EXEED,TXL,2480000
EXEED,VX,3490000
Gac,GS3,1199000
Gac,GS8,2690000
Gac,M8,5099000
Geely,Atlas,690000
Geely,Atlas New,1499000
Geely,Atlas Pro,790000
Geely,Boyue,1794000
Geely,Cityray,1713000
Geely,Coolray,850000
Geely,Coolray New,1115000
Geely,Emgrand,1040000
Geely,GS,699890
Geely,Monjaro,2899000
Geely,Monjaro New,3099000
Geely,Okavango,1854000
Geely,Okavango New,2054000
Geely,Preface,2302000
Geely,Preface New,2599000
Geely,Tugella,1620000
Geely,Tugella New,1950000
Haval,Dargo,1990000
Haval,Dargo X,2190000
Haval,F7,1699000
Haval,F7 New,1699000
Haval,F7x,1769000
Haval,H3,1980000
Haval,H5,2759000
Haval,H9,3790000
Haval,Jolion,1019000
Haval,Jolion New,1119000
Haval,M6,890000
Hyundai,Creta,590000
Hyundai,Creta New,864000
Hyundai,Elantra,1505000
Hyundai,Palisade,5640000
Hyundai,Santa Fe,1673000
Hyundai,Santa Fe New,3804000
Hyundai,Solaris,899000
Hyundai,Sonata,1370000
Hyundai,Sonata New,2214000
Hyundai,Staria,4990000
Hyundai,Tucson,1394000
JAC,J7,1199000
JAC,JS3,1099000
JAC,JS6,1499000
JAC,T8,2099000
JAC,T8 Pro,2319000
JAECOO,J7,1890000
JAECOO,J8,3079000
Jetour,Dashing,1290000
Jetour,T2,2499000
Jetour,X50,1090000
Jetour,X70,1790000
Jetour,X70 Plus,1590000
Jetour,X90 Plus,2449900
KAIYI,E5,900000
KAIYI,X3,1055000
KAIYI,X3 Pro,1300000
KAIYI,X7 Kunlun,2150000
KIA,Carnival,2249900
KIA,Ceed,713000
KIA,Ceed SW,723000
KIA,Cerato,850000
KIA,K5,2049000
KIA,Mohave,3844900
KIA,Picanto,680000
KIA,Rio,899000
KIA,Rio X,899000
KIA,Rio X-Line,557000
KIA,Seltos,790000
KIA,Seltos New,1375000
KIA,Sorento,1621000
KIA,Sorento New,2960000
KIA,Soul,638000
KIA,Sportage,1143000
KIA,Sportage New,1599900
KIA,Stinger,2309900
KIA,XCeed,1374000
Knewstar,001,3199000
Lada,4x4 Bronto,1290000
Lada,Aura,2599000
Lada,Granta Cross,975000
Lada,Granta Liftback,790000
Lada,Granta Sedan,916000
Lada,Largus,1060000
Lada,Largus Cross,1239000
Lada,Largus Cross 7 мест,1266000
Lada,Largus New 7 мест,1149000
Lada,Largus Фургон,1329000
Lada,Niva Legend 3 двери,949000
Lada,Niva Legend 5 дверей,889000
Lada,Niva Travel,934000
Lada,Vesta Cross,1249000
Lada,Vesta SW,1049000
Lada,Vesta SW Cross,1149000
Lada,Vesta Sedan,899000
Lada,Xray,729900
Lada,Xray Cross,811900
Livan,S6 Pro,1099000
Livan,X3 Pro,1049000
Livan,X6 Pro,1119000
Lixiang,L6,5990000
Lixiang,L7,6590000
Lixiang,L8,6890000
Lixiang,L9,7190000
MG,5,1199000
MG,6,1449000
MG,HS,2900000
MG,ZS,1889000
Mazda,6,1528000
Mazda,CX-5,1604000
Mazda,CX-9,2973000
Moskvich,3,1299000
Moskvich,6,1899000
Nissan,Murano,2590000
Nissan,Qashqai,790000
Nissan,Terrano,690000
Nissan,X-trail New,855000
OMODA,C5,1199000
OMODA,C5 New,1399000
OMODA,S5,1099000
OMODA,S5 GT,1869900
Oting,Paladin,3199000
Peugeot,2008 New,2649000
Peugeot,4008,3299000
Peugeot,5008 New,3499000
Ravon,Gentra,917000
Ravon,Nexia R3,805000
Ravon,R2,1049000
Ravon,R4,831000
Renault,Arkana,690000
Renault,Duster New,650000
Renault,Kaptur,670000
Renault,Logan,490000
Renault,Logan Stepway,530000
Renault,Sandero,520000
Renault,Sandero Stepway,550000
Rox,01,7949000
SWM,G01,990000
SWM,G01F,1119000
SWM,G05 Pro,1249000
Skoda,Karoq,740000
Skoda,Kodiaq,930000
Skoda,Octavia,1899000
Skoda,Rapid,1299000
Skoda,Superb,1222000
Solaris,HC,1950000
Solaris,HS,1218000
Solaris,KRS,1380000
Solaris,KRX,1481000
Soueast,S07,2049000
TANK,300,2499000
TANK,500,4899000
Toyota,CH-R,1865000
Toyota,Camry,2940000
Toyota,Corolla,1767000
Toyota,Highlander,6190000
Toyota,Land Cruiser 300,8724000
