brand,model,min_price
Aito,M5,5990000
Aito,M7,6990000
BAIC,BJ40,3069000
BAIC,U5 Plus,1379000
BAIC,X35,1379000
BAIC,X55,2705000
Belgee,X50,1870190
Belgee,X70,2271190
Changan,Alsvin,1225000
Changan,CS35,743900
Changan,CS35 Plus,1057900
Changan,CS35 Plus New,1726900
Changan,CS55,1218900
Changan,CS55 Plus,2539900
Changan,CS55 Plus New,2539900
Changan,CS75,839920
Changan,CS75 Plus,3590000
Changan,CS75FL,1573900
Changan,CS85 Coupe,3659900
Changan,CS95,3229900
Changan,Eado Plus,1630930
Changan,Hunter Plus,2999900
Changan,Lamore,1952930
Changan,UNI-K,3169900
Changan,UNI-S,2959900
Changan,UNI-S/CS55 Plus,2179900
Changan,UNI-T,2170000
Changan,UNI-V,2659900
Chery,Arrizo 8,2030000
Chery,Tiggo 2,749900
Chery,Tiggo 3,637900
Chery,Tiggo 4,736900
Chery,Tiggo 4 New,2330000
Chery,Tiggo 4 Pro,1349900
Chery,Tiggo 5,569000
Chery,Tiggo 7,956900
Chery,Tiggo 7 Pro,1217900
Chery,Tiggo 7 Pro Max,1930000
Chery,Tiggo 7 Pro Max New,2770000
Chery,Tiggo 7 Pro Plug-In-Hybrid,4050000
Chery,Tiggo 8,1247900
Chery,Tiggo 8 Pro,1527900
Chery,Tiggo 8 Pro Max,2359000
Chery,Tiggo 8 Pro Max New,4160000
Chery,Tiggo 9,3325000
Chevrolet,Cobalt,597900
Chevrolet,Nexia,547900
Chevrolet,Spark,567900
Citroen,C4,1749000
Citroen,C5 Aircross,1810000
Citroen,Spacetourer,3489900
DFM,580,1529000
DFM,AX7,1129000
Datsun,MI-DO,367000
Datsun,ON-DO,327000
Dongfeng,580,1090000
Dongfeng,AX7,1129000
EXEED,LX,2142000
EXEED,RX,3305000
EXEED,TXL,1999900
EXEED,VX,4909900
FAW,Bestune B70,1629600
FAW,Bestune T55,1602300
FAW,Bestune T77,2169000
FAW,Bestune T99,2900000
FAW,Besturn T77,1969000
FAW,Besturn X40,470000
FAW,Besturn X80,916000
FAW,X40,1292000
FAW,X80,1408000
Ford,Ecosport,1116000
Ford,Explorer,3010000
Ford,Fiesta Hatchback,875000
Ford,Fiesta Sedan,885000
Ford,Focus Hatchback,1033000
Ford,Focus Sedan,1043000
Ford,Focus Universal,1113000
Ford,Kuga,1609000
Ford,Mondeo,1612000
Gac,GN8,3399000
Gac,GS3,1949000
Gac,GS5,2099000
Gac,GS8,2789000
Gac,M8,4399999
Geely,Atlas,917990
Geely,Atlas New,2236493
Geely,Atlas Pro,1964990
Geely,Belgee X50,1603693
Geely,Cityray,2294190
Geely,Coolray,983999
Geely,Coolray New,1826993
Geely,Emgrand,1635990
Geely,Emgrand New,1949990
Geely,Emgrand X7,907990
Geely,GS,999990
Geely,Monjaro,3500000
Geely,Okavango,2787190
Geely,Okavango New,3449990
Geely,Preface,2700000
Geely,Tugella,2771993
