brand,model,min_price
BAIC,BJ40,2610000
BAIC,U5 Plus,1190000
BAIC,U5 Plus CNG,1324313
BAIC,X35,1221400
BAIC,X55,1770000
BAIC,X7,1860000
BAIC,X75,1920000
Belgee,X50,1374594
Belgee,X70,1695714
Changan,Alsvin,950000
Changan,CS35,537300
Changan,CS35 Plus,1139600
Changan,CS35 Plus New,1403940
Changan,CS55,645900
Changan,CS55 Plus,1577940
Changan,CS75,997000
Changan,CS75 Plus,1950000
Changan,CS75FL,1010300
Changan,CS85 Coupe,2225940
Changan,CS95,2260000
Changan,CS95 New,2696935
Changan,Eado,560000
Changan,Eado Plus,1397940
Changan,Hunter Plus,2057940
Changan,Lamore,1540000
Changan,UNI-K,1429900
Changan,UNI-K iDD Hybrid,3111940
Changan,UNI-T,1721940
Changan,UNI-V,1715940
Chery,Arrizo 8,1680000
Chery,Tiggo 4,840000
Chery,Tiggo 4 New,1398000
Chery,Tiggo 4 Pro,1170000
Chery,Tiggo 7,737940
Chery,Tiggo 7 Pro,1240000
Chery,Tiggo 7 Pro Max,1425000
Chery,Tiggo 7 Pro Max New,1662000
Chery,Tiggo 7 Pro Plug-In-Hybrid,2380000
Chery,Tiggo 8,999900
Chery,Tiggo 8 Pro,1550000
Chery,Tiggo 8 Pro Max,2310600
Chery,Tiggo 8 Pro Max New,2496000
Chery,Tiggo 8 Pro Plug-In-Hybrid,2890000
Chery,Tiggo 8 Pro e+,1980000
Chery,Tiggo 9,2830000
Chevrolet,Cobalt,572340
Chevrolet,Nexia,528540
Chevrolet,Spark,570540
DFM,580,765000
DFM,AX7,737400
DWHover,H3,699400
DWHover,H5,701710
Datsun,MI-DO,291000
Datsun,ON-DO,270000
Dongfeng,580,1429000
Dongfeng,580 New,1556000
Dongfeng,AX7,829000
Dongfeng,DF6,2221000
Dongfeng,DFSK 500,1739200
Dongfeng,DFSK IX5,1892000
Dongfeng,DFSK IX7,3172000
Dongfeng,Shine Max,2073000
EXEED,LX,1836000
EXEED,LX AWD,2250000
EXEED,LX New,2452000
EXEED,RX,2680000
EXEED,TXL,1806900
EXEED,TXL New,2209900
EXEED,VX,2810100
EXEED,VX LE,4049900
EXEED,VX New,4205000
FAW,Bestune B70,1470000
FAW,Bestune B70 New,1979992
FAW,Bestune T55,1446600
FAW,Bestune T77,1348300
FAW,Bestune T90 New,2203992
FAW,Bestune T99,1843800
FAW,Besturn T77,1969000
FAW,Besturn X40,617300
FAW,Besturn X80,749000
FAW,Besturn X80 New,759000
FAW,X40,635300
FAW,X40 New,540300
FAW,X80,777000
Forthing,T5 Evo,2580000
Forthing,Yacht,3590000
Gac,GN8,2220000
Gac,GS3,1379400
Gac,GS5,1208900
Gac,GS8,1752900
Gac,GS8 II,2720000
Geely,Atlas,970300
Geely,Atlas New,1910000
Geely,Atlas Pro,1103596
Geely,Belgee X50,2205990
Geely,Cityray,1689994
Geely,Coolray,914990
Geely,Coolray New,1565994
Geely,EX5,3259992
Geely,Emgrand,1159990
Geely,Emgrand New,1159990
Geely,Emgrand X7,771200
Geely,GS,659994
Geely,Monjaro,2800000
Geely,Okavango,2480000
Geely,Okavango New,2069994
Geely,Preface,1530000
Geely,Tugella,1900000
Geely,Tugella New,1980000
Great Wall,GWM Wingle 7,2899000
Great Wall,POER,2109400
Great Wall,POER King Kong,1959400
Great Wall,Wingle 7,1659400
Haval,Dargo,1829400
Haval,Dargo X,2009400
