brand,model,min_price
BAIC,BJ40,3850000
BAIC,U5 Plus,1545000
BAIC,X35,1700000
Belgee,X50,1435990
Changan,Alsvin,1550000
Changan,CS35 Plus,1239600
Changan,CS35 Plus New,1439900
Changan,CS55,910300
Changan,CS55 Plus,2039903
Changan,CS75FL,1110300
Changan,CS85 Coupe,3169900
Changan,CS95,3299900
Changan,Eado Plus,2229903
Changan,UNI-K,1429900
Changan,UNI-T,2769904
Changan,UNI-V,2099901
Chery,Tiggo 4,1180300
Chery,Tiggo 4 Pro,1589900
Chery,Tiggo 7,850300
Chery,Tiggo 7 Pro,1810300
Chery,Tiggo 7 Pro Max,1769900
Chery,Tiggo 8,1099900
Chery,Tiggo 8 Pro,1953403
Chery,Tiggo 8 Pro Max,2623630
Datsun,MI-DO,391000
Datsun,ON-DO,370000
Dongfeng,580,1529000
Dongfeng,AX7,929000
EXEED,LX,1999000
EXEED,LX AWD,2250000
EXEED,TXL,1806900
EXEED,TXL New,2329000
EXEED,VX,5900000
EXEED,VX LE,4049900
FAW,Bestune T55,2208000
FAW,Bestune T77,1448300
FAW,Bestune T99,2880000
FAW,Besturn X80,849000
FAW,X40 New,640300
Forthing,T5 Evo,2580002
Forthing,Yacht,3590000
Gac,GN8,3299000
Gac,GS5,1208900
Gac,GS8,1752900
Geely,Atlas,2244990
Geely,Atlas Pro,1419990
Geely,Coolray,1739990
Geely,Emgrand X7,871200
Geely,GS,1000300
Haval,Dargo,1999300
Haval,Dargo X,3169000
Haval,F7 New,1689000
Haval,F7x New,1579300
Haval,H3 New,2449000
Haval,H5 New,3099004
Haval,H9,1820000
Haval,Jolion,889000
Haval,M6,1579000
Hyundai,Creta New,849000
Hyundai,Elantra New,1029900
Hyundai,Santa Fe New,2229000
Hyundai,Solaris New,500300
Hyundai,Sonata New,1130200
Hyundai,Tucson New,1519000
JAC,J7,749000
JAC,JS4,1663300
JAC,JS6,1999003
JAC,S3,569300
JAC,S5,759300
JAC,S7,749000
JAECOO,J7,2839900
Jetour,Dashing,1989900
Jetour,X70 Plus,2499900
Jetour,X90 Plus,2899900
Jetta,VA3,1000000
Jetta,VS5,1200000
Jetta,VS7,1359000
KAIYI,E5,1269000
KAIYI,X3,1731650
KAIYI,X3 Pro,2014902
KIA,Ceed,935300
KIA,Ceed New,960300
KIA,Ceed SW,870300
KIA,Ceed SW New,955300
KIA,Cerato,1204900
KIA,Cerato New,1204900
KIA,K5,1070300
KIA,Picanto New,569900
KIA,ProCeed,1869900
KIA,Rio New,510300
KIA,Rio X,590300
KIA,Seltos,970300
KIA,Sorento New,1670300
KIA,Soul New,571200
KIA,Sportage,1354300
KIA,Sportage 5,1994929
Lada,Granta Cross,291800
Lada,Granta Drive Active,380900
Lada,Granta Hatchback New,291300
Lada,Granta Liftback New,293300
Lada,Granta Sedan New,280400
Lada,Granta Universal New,300300
Lada,Largus,1113900
Lada,Largus 7 мест,1144900
Lada,Largus Cross,1218900
Lada,Largus Фургон,1101903
Lada,Niva,415300
Lada,Niva Legend 3 двери,350300
Lada,Niva Legend 5 дверей,371300
Lada,Niva Legend Urban 3 двери,416900
Lada,Niva Legend Urban 5 дверей,450900
Lada,Niva Off-Road,470300
Lada,Niva Travel,437900
Lada,Vesta Cross,520300
Lada,Vesta SW,485300
Lada,Vesta SW Cross,571300
Lada,Vesta Sedan,416300
Lada,Vesta Sedan CNG,537300
Lada,Vesta Sport,570300
Lada,Xray,409300
Lada,Xray Cross,395300
Livan,X3 Pro,1379900
MG,5,1730001
MG,6,970000
MG,HS,2650000
Moskvich,3,1200000
Nissan,Qashqai,965300
Nissan,Terrano New,679000
Nissan,X-trail New,1270300
OMODA,C5,1600930
OMODA,S5,1509905
OMODA,S5 GT,2239900
Renault,Arkana New,915300
Renault,Duster New,715000
Renault,Kaptur New,789900
Renault,Logan New,460000
Renault,Logan Stepway,555300
Renault,Sandero New,547300
Renault,Sandero Stepway New,565300
SWM,G01F,1988340
Skoda,Karoq,1129900
Skoda,Kodiaq New,1459000
Skoda,Octavia A8,855800
Skoda,Rapid New,570300
Soueast,DX8S,2499900
TANK,300,3639004
TANK,500,4999000
UAZ,Hunter,562900
UAZ,Patriot New,619400
Volkswagen,Jetta New,1070300
Volkswagen,Passat New,1621300
Volkswagen,Polo New,540300
Volkswagen,Taos,1464000
Volkswagen,Tiguan New,1499900
Zotye,Coupa,750300
