brand,model,min_price
BAIC,BJ40,3590000
BAIC,U5 Plus,1410000
BAIC,X35,1430000
BAIC,X55,2040000
BAIC,X7,2200000
BAIC,X75,2019000
Belgee,X50,1051000
Belgee,X70,1054000
Brilliance,V3,729000
Brilliance,V5,899000
Changan,Alsvin,890000
Changan,CS35,732900
Changan,CS35 Plus,810000
Changan,CS35 Plus New,1390000
Changan,CS55,857000
Changan,CS55 Plus,1650000
Changan,CS75 Plus,1799900
Changan,CS75FL,1519900
Changan,CS85 Coupe,2399900
Changan,CS95,3344000
Changan,CS95 New,3019900
Changan,Eado Plus,1400000
Changan,Hunter,2809900
Changan,Hunter Plus,2736000
Changan,Lamore,1889900
Changan,UNI-K,2539900
Changan,UNI-S,1399000
Changan,UNI-T,1692000
Changan,UNI-V,1959900
Chery,Arrizo 8,1714000
Chery,Tiggo 2,487000
Chery,Tiggo 3,671900
Chery,Tiggo 4,877900
Chery,Tiggo 4 Pro,940000
Chery,Tiggo 5,650900
Chery,Tiggo 7,950000
Chery,Tiggo 7 Pro,990000
Chery,Tiggo 7 Pro Max,1090000
Chery,Tiggo 7 Pro Max New,1247000
Chery,Tiggo 8,1387900
Chery,Tiggo 8 New,1580000
Chery,Tiggo 8 Pro,1729900
Chery,Tiggo 8 Pro Max,2180900
Chery,Tiggo 8 Pro Max New,2388000
Chery,Tiggo 8 Pro e+,4630000
Chevrolet,Captiva New,1949000
Chevrolet,Cobalt,627900
Chevrolet,Nexia,577900
Chevrolet,Niva,436000
Chevrolet,Spark,637900
Chevrolet,Trailblazer,1874000
Citroen,C5 Aircross,2589000
Citroen,C5 X,3009000
DFM,580,1113000
DFM,AX7,1152000
Datsun,MI-DO,454000
Datsun,ON-DO,431000
Dongfeng,580,919900
Dongfeng,AX7,899900
Dongfeng,DF6,2345000
Dongfeng,DFSK 500,1679000
Dongfeng,DFSK IX5,1890000
Dongfeng,DFSK IX7,2336000
Dongfeng,SK 580,1779000
Dongfeng,Shine Max,1479000
EXEED,LX,2099000
EXEED,LX AWD,2840000
EXEED,RX,3239900
EXEED,TXL,1457900
EXEED,TXL New,2490000
EXEED,VX,2525900
EXEED,VX New,4490000
FAW,Bestune B70,2028000
FAW,Bestune T55,1989000
FAW,Bestune T77,1999000
FAW,Bestune T99,2650000
FAW,Besturn T77,1969000
FAW,Besturn X40,1257000
FAW,Besturn X80,938000
FAW,X40,898000
