brand,model,min_price
BAIC,BJ40,2629930
BAIC,BJ40 Plus,2529000
BAIC,U5,1518000
BAIC,U5 Plus,989900
BAIC,U5 Plus CNG,2240522
BAIC,X35,989900
BAIC,X55,1040000
BAIC,X7,1500000
BAIC,X75,2150000
BYD,Qin,3139900
Belgee,X50,735990
Belgee,X70,1054000
Brilliance,V3,429000
Brilliance,V5,599000
Changan,Alsvin,590000
Changan,Alsvin v7,1219000
Changan,CS15,1250000
Changan,CS35,613930
Changan,CS35 Plus,587300
Changan,CS35 Plus New,1059900
Changan,CS55,817300
Changan,CS55 Plus,1329900
Changan,CS75,732930
Changan,CS75 Plus,1970000
Changan,CS75 Plus New,2350000
Changan,CS75FL,1057300
Changan,CS85 Coupe,2159000
Changan,CS95,2280000
Changan,CS95 New,2937930
Changan,Eado,1150000
Changan,Eado Plus,1098910
Changan,Hunter Plus,2436000
Changan,Lamore,1560000
Changan,Raeton,1929000
Changan,Raeton Plus,1840000
Changan,UNI-K,2420000
Changan,UNI-K iDD Hybrid,3651930
Changan,UNI-S,1329900
Changan,UNI-S/CS55 Plus,2030000
Changan,UNI-T,1392000
Changan,UNI-V,1970000
Chery,Arrizo 7,1331900
Chery,Arrizo 8,1099900
Chery,Bonus,979990
Chery,Bonus 3,1075000
Chery,Explore 06,1590000
Chery,Explore 06 New,1590000
Chery,Indis,1069900
Chery,M11 Hatchback,1059000
Chery,M11 Sedan,1049000
Chery,Tiggo 2,1393000
Chery,Tiggo 2 Pro,0
Chery,Tiggo 3,659900
Chery,Tiggo 3x,840000
Chery,Tiggo 3x New,840000
Chery,Tiggo 4,618900
Chery,Tiggo 4 New,1080000
Chery,Tiggo 4 Pro,671900
Chery,Tiggo 5,905900
Chery,Tiggo 7,797300
Chery,Tiggo 7 Pro,925900
Chery,Tiggo 7 Pro Max,1104900
Chery,Tiggo 7 Pro Max New,1247000
Chery,Tiggo 7 Pro Plug-In-Hybrid,3198000
Chery,Tiggo 8,1046900
Chery,Tiggo 8 New,1280000
Chery,Tiggo 8 Pro,1570000
Chery,Tiggo 8 Pro Max,1880000
Chery,Tiggo 8 Pro Max New,2189900
Chery,Tiggo 8 Pro Plug-In-Hybrid,3878000
Chery,Tiggo 8 Pro e+,2000000
Chery,Tiggo 9,1950000
Chery,Tiggo FL,1279900
Chery,Very,989999
Chevrolet,Captiva,2249000
Chevrolet,Cobalt,553900
Chevrolet,Nexia,436900
Chevrolet,Niva,441900
Chevrolet,Spark,526900
Chevrolet,Trailblazer,2324000
Chevrolet,Traverse,3640000
Citroen,C5 Aircross,2589000
Citroen,C5 X,3009000
DWHover,H3,837300
DWHover,H5,907300
Dongfeng,500,815000
Dongfeng,580,969000
Dongfeng,580 New,1929000
Dongfeng,AX7,619000
Dongfeng,DF6,2045000
Dongfeng,DFSK 500,1479000
Dongfeng,DFSK IX5,1300000
Dongfeng,DFSK IX7,2050000
Dongfeng,H30 Cross,509000
Dongfeng,S30,839000
Dongfeng,SK 580,470000
Dongfeng,Shine Max,1479000
EXEED,LX,1719900
EXEED,LX AWD,2099000
EXEED,LX New,2470000
EXEED,RX,2420000
EXEED,TXL,1916900
EXEED,TXL New,2016900
EXEED,VX,2830000
EXEED,VX LE,4246900
EXEED,VX New,3534930
Evolute,i-JOY,2794500
Evolute,i-PRO,2091000
Evolute,i-SKY,3442000
FAW,Bestune B70,1640000
FAW,Bestune B70 New,1660000
FAW,Bestune T55,1501000
FAW,Bestune T77,1460000
FAW,Bestune T90,1750000
FAW,Bestune T90 New,2221992
