brand,model,min_price
BAIC,BJ40,2610000
BAIC,U5 Plus,1227000
BAIC,X35,1320000
BAIC,X55,1770000
Belgee,X50,1374594
Belgee,X70,1695714
Changan,Alsvin,1050000
Changan,CS35 Plus New,1403940
Changan,CS55,1313940
Changan,CS55 Plus,1577940
Changan,CS75FL,1481940
Changan,CS85 Coupe,2225940
Changan,CS95,2549940
Changan,Eado Plus,1397940
Changan,Hunter Plus,2057940
Changan,Lamore,1673940
Changan,UNI-K,2183940
Changan,UNI-T,1721940
Changan,UNI-V,1715940
Chery,Arrizo 8,1680000
Chery,Tiggo 4,1223940
Chery,Tiggo 4 New,1398000
Chery,Tiggo 4 Pro,1272000
Chery,Tiggo 7,737940
Chery,Tiggo 7 Pro,1542000
Chery,Tiggo 7 Pro Max,1692000
Chery,Tiggo 7 Pro Max New,1662000
Chery,Tiggo 8,1638000
Chery,Tiggo 8 Pro,2058000
Chery,Tiggo 8 Pro Max,2310600
Chery,Tiggo 8 Pro Max New,2496000
Chevrolet,Cobalt,572340
Chevrolet,Nexia,528540
Chevrolet,Spark,570540
DFM,580,977400
DFM,AX7,737400
EXEED,LX,1836000
EXEED,RX,3090000
EXEED,TXL,2556000
EXEED,VX,3900000
FAW,Bestune B70,1470000
FAW,Bestune T55,1446600
FAW,Bestune T77,1718400
FAW,Bestune T99,1843800
FAW,X40,835200
FAW,X80,904800
Gac,GS3,1379400
Gac,GS5,1349400
Gac,GS8,2339400
Geely,Atlas,1337394
Geely,Atlas New,1916994
Geely,Atlas Pro,1658394
Geely,Coolray,1406994
Geely,Coolray New,1565994
Geely,Emgrand New,1205994
Geely,GS,659994
Geely,Monjaro,2816994
Geely,Okavango New,2069994
Geely,Tugella New,2375994
Haval,Dargo,1829400
Haval,Dargo X,2009400
Haval,F7 New,1439400
Haval,F7x New,1469400
Haval,H3,1589400
Haval,H5,917400
Haval,H5 New,2219400
Haval,H9,2459400
Haval,Jolion,1169400
Haval,Jolion New,1199400
Haval,M6,1307400
Hyundai,Creta New,1115400
Hyundai,Elantra New,1289400
Hyundai,Santa Fe,1565400
Hyundai,Solaris,844800
Hyundai,Sonata,1661400
Hyundai,Tucson New,1649400
JAC,J7,1277400
JAC,S3,839400
JAC,S7,1067400
JAECOO,J7,2003940
JAECOO,J8,2669400
Jetour,Dashing,1493940
Jetour,T2,2255400
Jetour,X70 Plus,1799940
Jetour,X90 Plus,2039940
Jetta,VA3,1232400
Jetta,VS5,1477200
Jetta,VS7,1759800
KAIYI,E5,1317000
KAIYI,X3,1342800
KAIYI,X3 Pro,1508940
KAIYI,X7 Kunlun,1798740
KIA,Ceed,1346940
KIA,Ceed SW,1388940
KIA,Cerato New,1232940
KIA,K5,1640940
KIA,Picanto New,800940
KIA,ProCeed,1121940
KIA,Rio New,860940
KIA,Rio X,944940
KIA,Seltos,1175940
KIA,Sorento New,1499940
KIA,Soul,1097940
KIA,Sportage 5,1709940
KIA,XCeed,1580940
Lada,Granta Cross,291800
Lada,Granta Hatchback,286300
Lada,Granta Liftback,293300
Lada,Granta Sedan,280400
Lada,Granta Sedan Drive Active,267900
Lada,Granta Universal,300300
Lada,Largus Cross New,866340
Lada,Largus New,780540
Lada,Largus Фургон New,781140
Lada,Niva Legend 3 двери,497940
Lada,Niva Legend 5 дверей,551340
Lada,Niva Off-Road,494400
Lada,Niva Travel,719340
Lada,Vesta Cross,460500
Lada,Vesta Cross New,1040340
Lada,Vesta SW,424000
Lada,Vesta SW Cross,449000
Lada,Vesta SW Cross New,907140
Lada,Vesta SW New,797940
Lada,Vesta Sedan,396900
Lada,Vesta Sedan CNG,481900
Lada,Vesta Sedan New,743940
Lada,Vesta Sport,565900
Lada,Xray,404300
Lada,Xray Cross,395300
Livan,S6 Pro,1529940
Livan,X3 Pro,1127940
Livan,X6 Pro,1577940
Moskvich,3,1332000
Moskvich,3e,2370000
Moskvich,6,1320000
Nissan,Murano,2645400
Nissan,Qashqai,1402200
Nissan,Terrano,1014000
Nissan,X-trail,1657200
OMODA,C5,1607940
OMODA,S5,1349940
Renault,Arkana,1124400
Renault,Duster New,970800
Renault,Kaptur,1034400
Renault,Logan,674400
Renault,Logan Stepway,780600
Renault,Sandero,754800
Renault,Sandero Stepway,823800
Skoda,Karoq,1629600
Skoda,Kodiaq New,2184000
Skoda,Octavia New,1567800
Skoda,Rapid,961200
Skoda,Superb,2031600
Skoda,Superb Combi,2290200
Solaris,HC,1499400
Solaris,HS,1206000
Solaris,KRS,1222800
Solaris,KRX,1238400
TANK,300,2459400
TANK,500,3779400
UAZ,Hunter,816000
UAZ,Patriot,927000
UAZ,Patriot Pickup,942000
Volkswagen,Jetta,976200
Volkswagen,Passat,1593600
Volkswagen,Polo,972540
Volkswagen,Taos,1697340
