brand,model,min_price
BAIC,BJ40,2610000
BAIC,U5,1140000
BAIC,U5 Plus,1248000
BAIC,U5 Plus CNG,1344313
BAIC,X35,1019340
BAIC,X55,1782000
BAIC,X7,1860000
BAIC,X75,1794000
Belgee,X50,751000
Belgee,X70,1054000
Brilliance,V3,429000
Brilliance,V5,599000
Changan,Alsvin,590000
Changan,Alsvin v7,1604900
Changan,CS35,527940
Changan,CS35 Plus,750300
Changan,CS35 Plus New,1090000
Changan,CS35 Plus Restyling,1849900
Changan,CS55,910300
Changan,CS55 Plus,1350000
Changan,CS75,629940
Changan,CS75 Plus,2179000
Changan,CS75FL,1110300
Changan,CS85 Coupe,2225940
Changan,CS95,2609940
Changan,CS95 New,2717940
Changan,CS95 Plus,3626861
Changan,Eado Plus,1100000
Changan,Hunter Plus,2057940
Changan,Lamore,1721940
Changan,UNI-K,2381940
Changan,UNI-K iDD Hybrid,3131940
Changan,UNI-S,1399000
Changan,UNI-S/CS55 Plus,1350000
Changan,UNI-T,1392000
Changan,UNI-V,1841940
Chery,Arrizo 8,654100
Chery,Tiggo 4,621900
Chery,Tiggo 4 New,1080000
Chery,Tiggo 4 Pro,671900
Chery,Tiggo 7,750000
Chery,Tiggo 7 Pro,890000
Chery,Tiggo 7 Pro Max,1090000
Chery,Tiggo 7 Pro Max New,1247000
Chery,Tiggo 7 Pro Plug-In-Hybrid,2400000
Chery,Tiggo 8,1096900
Chery,Tiggo 8 New,1030000
Chery,Tiggo 8 Pro,1499000
Chery,Tiggo 8 Pro Max,1880000
Chery,Tiggo 8 Pro Max New,2022000
Chery,Tiggo 8 Pro Plug-In-Hybrid,2910000
Chery,Tiggo 8 Pro e+,2958000
Chery,Tiggo 9,2850000
Citroen,C5 Aircross,2589000
Citroen,C5 X,3009000
DWHover,H3,719400
DWHover,H5,721710
Dongfeng,580 New,1157400
Dongfeng,AX7,617340
Dongfeng,DF6,1979400
Dongfeng,DFSK 500,1319400
Dongfeng,DFSK IX5,1434000
Dongfeng,DFSK IX7,2154000
