brand,model,min_price
BAIC,BJ40,3559000
BAIC,U5 Plus,1339000
BAIC,X35,1569000
BAIC,X55,2255000
BAIC,X7,2400000
Belgee,X50,1435990
Belgee,X70,1845714
Changan,Alsvin,590000
Changan,CS35 Plus,750300
Changan,CS35 Plus New,1090000
Changan,CS55,910300
Changan,CS55 Plus,1679900
Changan,CS75,1399900
Changan,CS75 Plus,2179000
Changan,CS75FL,1110300
Changan,CS85 Coupe,2524000
Changan,CS95,2944000
Changan,CS95 New,3146000
Changan,Eado Plus,1100000
Changan,Hunter Plus,2436000
Changan,Lamore,2119000
Changan,UNI-K,2499000
Changan,UNI-S/CS55 Plus,1350000
Changan,UNI-T,1392000
Changan,UNI-V,2079000
Chery,Arrizo 8,2379930
Chery,Tiggo 4,668900
Chery,Tiggo 4 New,1398000
Chery,Tiggo 4 Pro,1277300
Chery,Tiggo 7,847300
Chery,Tiggo 7 Pro,1520000
Chery,Tiggo 7 Pro Max,1916900
Chery,Tiggo 7 Pro Max New,2270000
Chery,Tiggo 8,1096900
Chery,Tiggo 8 New,1030000
Chery,Tiggo 8 Pro,1930400
Chery,Tiggo 8 Pro Max,2587900
Chery,Tiggo 8 Pro Max New,3139900
Chevrolet,Cobalt,953900
Chevrolet,Nexia,880900
Chevrolet,Spark,950900
DFM,580,1629000
DFM,AX7,1229000
Datsun,MI-DO,445000
Datsun,ON-DO,425000
Dongfeng,580,1629000
Dongfeng,AX7,929000
EXEED,LX,2284900
EXEED,LX AWD,2940000
EXEED,RX,2939900
EXEED,TXL,1906900
EXEED,TXL New,2369900
EXEED,VX,3209900
EXEED,VX LE,4690000
EXEED,VX New,4190000
FAW,Bestune B70,1828000
FAW,Bestune T55,1789000
FAW,Bestune T77,1919000
FAW,Bestune T99,2430000
FAW,Besturn X80,1308000
FAW,X40,1242000
FAW,X80,1308000
Forthing,T5 Evo,2680000
Forthing,Yacht,3690000
Gac,GN8,1919000
Gac,GS3,1724250
Gac,GS5,1020000
Gac,GS8,1408000
Gac,GS8 II,2167000
Geely,Atlas,970300
Geely,Atlas New,2344990
Geely,Atlas Pro,1200000
Geely,Belgee X50,876000
Geely,Boyue,1794000
Geely,Coolray,966300
Geely,Coolray New,1115000
Geely,Emgrand,1040000
Geely,Emgrand New,1799990
Geely,Emgrand X7,999990
Geely,GS,875000
Geely,Monjaro,3849990
