brand,model,min_price
Changan,CS35 Plus,1198940
Changan,CS55,1318940
Changan,CS75,844940
Changan,CS75FL,1492940
Chery,Tiggo 4,1024940
Chery,Tiggo 5,604400
Chery,Tiggo 7,742940
Chery,Tiggo 7 Pro,1547000
Chery,Tiggo 8,1565000
Chery,Tiggo 8 Pro,2063000
EXEED,LX,1841000
EXEED,TXL,2561000
EXEED,VX,3185000
FAW,Bestune T77,1307000
FAW,Besturn T55,1451600
FAW,Besturn T99,1829000
Geely,Atlas,1108394
Geely,Atlas Pro,1345394
Geely,Coolray,1201994
Geely,Emgrand GT,783740
Geely,Emgrand X7,604994
Geely,GS,796994
Geely,Tugella,2206994
Haval,F7,1444400
Haval,F7x,1474400
Haval,Jolion,1174400
Hyundai,Creta,854000
Hyundai,Tucson,1524000
Jetour,Dashing,1498940
Jetour,X90 Plus,2044940
Jetta,VA3,1019000
Jetta,VS5,1199000
Jetta,VS7,1294400
KAIYI,E5,1352000
KIA,Cerato,1209900
KIA,K5,595300
KIA,Rio,515300
KIA,Rio X,595300
KIA,Sportage,1999929
Lada,Granta Hatchback,472100
Lada,Granta Liftback,438380
Lada,Granta Sedan,420380
Lada,Granta Universal,436580
Lada,Largus,785540
Lada,Largus Cross,870740
Lada,Niva Legend 3 двери,502940
Lada,Niva Legend 5 дверей,556340
Lada,Niva Off-Road,499400
Lada,Niva Travel,660740
Lada,Vesta Cross,766940
Lada,Vesta SW,733340
Lada,Vesta SW Cross,802340
Lada,Vesta Sedan,678140
Lada,Vesta Sedan CNG,795140
Lada,Xray,669140
Lada,Xray Cross,754940
Moskvich,3,1019000
OMODA,C5,1612940
OMODA,S5,1354940
Solaris,HC,1754000
Solaris,HS,1255000
Solaris,KRS,1443000
Solaris,KRX,1396000
UAZ,Hunter,609200
UAZ,Patriot,685400
