brand,model,min_price
BAIC,BJ40,3590000
BAIC,U5 Plus,1518000
BAIC,X35,1530000
BAIC,X55,2126000
BAIC,X75,2142000
BYD,Seagull,1494000
Belgee,X50,1697000
Changan,Alsvin,1238000
Changan,CS35 Plus,1391000
Changan,CS35 Plus New,1622000
Changan,CS55,1555000
Changan,CS55 Plus,1985000
Changan,CS75 Plus,1924000
Changan,CS75FL,1787000
Changan,CS85 Coupe,2758000
Changan,CS95,3150000
Changan,Eado Plus,1614000
Changan,Hunter Plus,2534000
Changan,Lamore,1982000
Changan,UNI-K,2702000
Changan,UNI-T,2126000
Changan,UNI-V,2062000
Chery,Arrizo 8,1990000
Chery,Tiggo 4 Pro,1446000
Chery,Tiggo 7 Pro Max,1926000
Chery,Tiggo 7 Pro Max New,1966000
Chery,Tiggo 8 Pro Max,2518000
Dongfeng,580,1749000
Dongfeng,DF6,2389000
Dongfeng,DFSK IX5,2142000
Dongfeng,DFSK IX7,2942000
Dongfeng,Shine Max,1509000
EXEED,LX New,2222000
EXEED,RX,3613000
EXEED,TXL New,2938000
EXEED,VX,3725000
EXEED,VX Restyling,4625000
Evolute,i-JOY,2746000
Evolute,i-PRO,1993000
FAW,Bestune B70,1833000
FAW,Bestune T55,1799000
FAW,Bestune T77,2184000
FAW,Bestune T99,2362000
Gac,GN8,2552000
Gac,GS3,1704000
Gac,GS5,1605000
Gac,GS8 New,2869000
Gac,M8,3875000
Geely,Atlas New,2310000
Geely,Atlas Pro,1961000
Geely,Coolray,1684000
Geely,Coolray Restyling,1838000
Geely,Emgrand,1406000
Geely,Monjaro,3159000
Geely,Okavango,2337000
Geely,Preface,2297000
Geely,Tugella New,2720000
Great Wall,POER King Kong,2309000
Haval,Dargo,2189000
Haval,Dargo X,2429000
Haval,F7,1709000
Haval,F7 New,1909000
Haval,F7x New,1749000
Haval,H3,1829000
Haval,H5,2668000
Haval,H9,3189000
Haval,Jolion Restyling,1449000
Haval,M6,1493000
Hyundai,Creta,1874000
Hyundai,Solaris,1358000
Hyundai,Tucson,2264000
JAC,J7,1535000
JAC,JS3,1237000
JAC,JS4,1557000
JAC,JS6,1669000
JAC,T6,1798000
JAC,T8,1869000
JAC,T8 Pro,2069000
JAECOO,J7,2427000
JAECOO,J8,3269000
Jetour,Dashing,1742000
Jetour,T2,2757000
Jetour,X70,1867000
Jetour,X70 Plus,2143000
Jetour,X90 Plus,2470000
KAIYI,E5,1616000
KAIYI,X3,1652000
KAIYI,X3 Pro,1762000
KAIYI,X7,2148000
KIA,Carnival,4017000
KIA,Ceed,1601000
KIA,Ceed SW,1658000
KIA,Cerato,1626000
KIA,K5,2219000
KIA,Mohave,4928000
KIA,Pegas,1263000
KIA,Picanto,1176000
KIA,Rio,1347000
KIA,Rio X,1464000
KIA,Seltos,1953000
KIA,Sorento,3106000
KIA,Soul,1776000
KIA,Sportage,2575000
Livan,S6 Pro,1790000
Livan,X3 Pro,1255000
Mitsubishi,Outlander,2333000
Moskvich,3,1271000
Moskvich,6,1730000
OMODA,C5,1645000
OMODA,S5,1449000
Oting,Paladin,2789000
SWM,G01,1493000
Skywell,ET5,3185000
TANK,300,2899000
TANK,500,4474000
Toyota,BZ4X,3482000
Toyota,CH-R,2724000
Toyota,Camry,3567000
Toyota,Corolla,2111000
Toyota,Fortuner,4488000
Toyota,Highlander,6009000
Toyota,Hilux,4188000
Toyota,Land Cruiser 300,9078000
Toyota,Land Cruiser Prado,5248000
Toyota,RAV4,3042000
,,
,,
