brand,model,min_price
BAIC,BJ40,2610000
BAIC,BJ40 Plus,2529000
BAIC,U5 Plus,989900
BAIC,X35,989900
BAIC,X55,1775000
BAIC,X7,1850000
BAIC,X75,1785000
BYD,Qin,3139900
Belgee,X50,935990
Belgee,X70,1195000
Changan,Alsvin,754910
Changan,Alsvin v7,1219000
Changan,CS15,1250000
Changan,CS35,709900
Changan,CS35 Plus,959900
Changan,CS35 Plus New,1059900
Changan,CS35 Plus Restyling,1499900
Changan,CS55,1300000
Changan,CS55 Plus,1329900
Changan,CS75,1439900
Changan,CS75 Plus,1699000
Changan,CS75 Plus New,1780000
Changan,CS75FL,1471000
Changan,CS85 Coupe,2159000
Changan,CS95,2280000
Changan,CS95 Restyling,2768900
Changan,Eado,1150000
Changan,Eado Plus,1098910
Changan,Hunter Plus,2057000
Changan,Lamore,1560000
Changan,Raeton,1929000
Changan,Raeton Plus,1840000
Changan,UNI-K,2039900
Changan,UNI-S,1329900
Changan,UNI-S/CS55 Plus,1577940
Changan,UNI-T,1711000
Changan,UNI-V,1705000
Chery,Arrizo 7,1331900
Chery,Arrizo 8,1790000
Chery,Bonus,979990
Chery,Bonus 3,1075000
Chery,Explore 06,1590000
Chery,Indis,1069900
Chery,M11 Hatchback,1059000
Chery,M11 Sedan,1049000
Chery,Tiggo 2,1393000
Chery,Tiggo 2 Pro,0
Chery,Tiggo 3,659900
Chery,Tiggo 3x,840000
Chery,Tiggo 4,797900
Chery,Tiggo 4 New,1100000
Chery,Tiggo 4 Pro,827000
Chery,Tiggo 5,905900
Chery,Tiggo 7,737940
Chery,Tiggo 7 Pro,972000
Chery,Tiggo 7 Pro Max,1104900
Chery,Tiggo 7 Pro Max New,1340900
Chery,Tiggo 8,1199900
Chery,Tiggo 8 New,1530000
Chery,Tiggo 8 Pro,1287000
Chery,Tiggo 8 Pro Max,2010900
Chery,Tiggo 8 Pro Max New,2269000
Chery,Tiggo 8 Pro Max Restyling,2049000
Chery,Tiggo 8 Pro e+,3119900
Chery,Tiggo 9,1950000
Chery,Tiggo 9 New,3100000
Chery,Tiggo FL,1279900
Chery,Very,989999
Chevrolet,Captiva,1350000
Chevrolet,Cobalt,590000
Chevrolet,Cruze,700000
Chevrolet,Equinox,1560000
Chevrolet,Nexia,540000
Chevrolet,Niva,436000
Chevrolet,Onix,1350000
Chevrolet,Spark,500000
Chevrolet,Tracker,1290000
Chevrolet,Trailblazer,1670000
Chevrolet,Traverse,2940000
Dongfeng,500,815000
Dongfeng,580,919900
Dongfeng,AX7,619000
Dongfeng,DFSK IX5,1900000
Dongfeng,DFSK IX7,2950000
Dongfeng,H30 Cross,509000
Dongfeng,IX7,1540000
Dongfeng,S30,839000
Dongfeng,SK 580,1160000
Dongfeng,Shine Max,1540000
EXEED,LX,1826000
EXEED,LX AWD,2294000
EXEED,LX New,2091000
EXEED,RX,2700000
EXEED,TXL,1619900
EXEED,TXL New,2220000
EXEED,TXL Restyling,2599000
EXEED,VX,2525900
EXEED,VX LE,3404000
EXEED,VX Restyling,4608000
FAW,Bestune B70,1470000
FAW,Bestune B70 New,2600000
FAW,Bestune T55,1496400
FAW,Bestune T77,1460000
FAW,Bestune T90,2950000
FAW,Bestune T99,2045000
FAW,Bestune T99 New,2055000
FAW,Besturn B30,910000
FAW,Besturn X40,1190000
FAW,Besturn X80,1439000
FAW,Oley,840400
Ford,Ecosport,770000
Ford,Focus Hatchback,680000
Ford,Focus Sedan,680000
Ford,Kuga,1330000
Ford,Mondeo,1280000
Ford,S-MAX,1310000
Forthing,M7,2350000
Forthing,T5 Evo,1660000
Forthing,Venucia D60 Plus,1100000
Forthing,Venucia V-Online,1540000
Forthing,Yacht,2710000
Foton,Sauvana,1270000
Gac,GN8,2240000
Gac,GS3,1299000
Gac,GS3 New,1299000
Gac,GS4,1699000
Gac,GS5,1259000
Gac,GS8,1455000
Gac,GS8 II,2090000
Gac,GS8 New,2597000
Gac,M8,4950000
Geely,Atlas,711990
Geely,Atlas New,1882990
Geely,Atlas Pro,1254990
Geely,Cityray,1539990
Geely,Coolray,619900
Geely,Coolray New,1340000
Geely,Coolray Restyling,1399990
Geely,EX5,3799990
Geely,Emgrand,1199990
Geely,Emgrand 7,570000
Geely,Emgrand Cross,1370000
Geely,Emgrand GT,1067900
Geely,Emgrand New,1289990
Geely,Emgrand X7,650900
Geely,Emgrand ec7 Hatchback,1119000
Geely,Emgrand ec7 Sedan,1119000
Geely,GC6,1068600
Geely,GS,1019990
Geely,MK Cross,1085000
Geely,Monjaro,2739990
Geely,Okavango,1490000
Geely,Okavango New,1629990
Geely,Preface,1550000
Geely,Preface New,1749990
Geely,Tugella,1890000
Geely,Tugella New,1910000
Geely,Tugella Restyling,2629990
Great Wall,POER,2059400
Great Wall,POER King Kong,2399000
Haima,7X,3050000
Haima,8S,2050000
Haval,Dargo,1589000
Haval,Dargo X,1851000
Haval,F7,950000
Haval,F7 New,1420000
Haval,F7 Restyling,1419000
Haval,F7x,990000
Haval,F7x New,1519000
Haval,F7x Restyling,1589000
Haval,H2,898000
Haval,H3,1519000
Haval,H3 New,1550000
Haval,H5,1099000
Haval,H5 New,1690000
Haval,H6,880000
Haval,H6 New,1830000
Haval,H8,2438990
Haval,H9,1873000
Haval,H9 New,2900000
Haval,Jolion,689900
Haval,Jolion New,899000
Haval,Jolion Restyling,1209000
Haval,M6,969000
Hawtai,Boliger,619800
Hawtai,Laville,649000
Hongqi,HS5,2465000
Hyundai,Bayon,1620000
Hyundai,Creta,760000
Hyundai,Creta New,920000
Hyundai,Custo,2110000
Hyundai,Elantra,1100000
Hyundai,Elantra New,1269000
Hyundai,Equus,3726700
Hyundai,Genesis,2618900
Hyundai,Grand Santa Fe,2808900
Hyundai,H-1,2090000
Hyundai,Palisade,3151000
Hyundai,Santa Fe,1900000
Hyundai,Santa Fe New,2371000
Hyundai,Santa Fe Premium,2133400
Hyundai,Solaris,690000
Hyundai,Solaris Hatchback,943900
Hyundai,Solaris New,834000
Hyundai,Sonata,1390000
Hyundai,Sonata New,1719000
Hyundai,Staria,3790000
Hyundai,Tucson,1260000
Hyundai,Tucson New,1639000
Hyundai,i30,1249890
Hyundai,i30 N,2710000
Hyundai,i40,1474300
Hyundai,i40 универсал,1664300
Hyundai,ix35,1529890
JAC,J7,877000
JAC,JS3,1049000
JAC,JS3 New,1049000
JAC,JS4,854000
JAC,JS6,1499000
JAC,S3,706000
JAC,S4,790000
JAC,S5,889000
JAC,S7,977000
JAC,T6,1120000
JAC,T8,2199000
JAC,T8 Pro,1724000
JAC,T9,2412000
JAC,T9 New,2412000
JAC,iEV7S,2739000
JAECOO,J7,2003940
JAECOO,J8,2859000
Jetour,Dashing,1109900
Jetour,T2,2299000
Jetour,T2 New,2479000
Jetour,X50,1200000
Jetour,X70,1599000
Jetour,X70 Plus,1799940
Jetour,X90 Plus,2019900
Jetta,VA3,1074000
Jetta,VS5,1449000
Jetta,VS5 New,1550000
Jetta,VS7,1539000
Jetta,VS7 New,2000000
KAIYI,E5,1039000
KAIYI,X3,970000
KAIYI,X3 Pro,1070000
KAIYI,X7 Kunlun,1798740
KGM(SsangYong),Korando,2600000
KGM(SsangYong),Rexton,3450000
KGM(SsangYong),Tivoli,2200000
KGM(SsangYong),Torres,3100000
KIA,Carnival,2530000
KIA,Ceed,1210000
KIA,Ceed GT,2009900
KIA,Ceed JD,1629370
KIA,Ceed SW,1250000
KIA,Ceed SW New,1397530
KIA,Ceed SW Universal,1599000
KIA,Cerato,1030000
KIA,Cerato New,1032500
KIA,Cerato Restyling,1499000
KIA,K5,1390000
KIA,K900,4704900
KIA,Mohave,2759900
KIA,Mohave New,4169900
KIA,Optima,1949900
KIA,Optima Rest,1140000
KIA,Picanto,694900
KIA,Picanto New,784900
KIA,Pro Ceed GT,2024900
KIA,ProCeed,1134700
KIA,Quoris,3604490
KIA,Rio,619900
KIA,Rio Hatchback,1400900
KIA,Rio New,850900
KIA,Rio X,830000
KIA,Rio X-Line,600000
KIA,Seltos,937900
KIA,Sorento,1779900
KIA,Sorento New,2263000
KIA,Sorento Prime,1964900
KIA,Soul,1030000
KIA,Soul New,1339900
KIA,Sportage,1270000
KIA,Sportage 5,2299000
KIA,Sportage New,1860000
KIA,Stinger,2059900
KIA,Venga,1642490
KIA,XCeed,1114000
Knewstar,001,2095990
Lada,4x4 Bronto,620000
Lada,Aura,1599000
Lada,Granta Cross,435400
Lada,Granta Drive Active,617900
Lada,Granta Hatchback,457100
Lada,Granta Hatchback New,534200
Lada,Granta Liftback,423400
Lada,Granta Liftback New,559040
Lada,Granta Sedan,405400
Lada,Granta Sedan Drive Active,486700
Lada,Granta Sedan New,410000
Lada,Granta Sport Drive Active Liftback,780900
Lada,Granta Sport Liftback,989900
Lada,Granta Sport Sedan,949900
Lada,Granta Sportline,951000
Lada,Granta Sportline Liftback,991000
Lada,Granta Universal,421600
Lada,Granta Universal New,516040
Lada,Kalina Cross,295800
Lada,Kalina Hatchback,210600
Lada,Largus,640000
Lada,Largus 7 мест,680000
Lada,Largus Cross,727000
