brand,model,min_price
BAIC,BJ40,2455000
BAIC,U5 Plus,1385000
BAIC,X35,1050000
BAIC,X55,1390000
BAIC,X7,1440000
BAIC,X75,1790000
Changan,Alsvin,1090000
Changan,CS35 Plus New,1309000
Changan,CS75 Plus,2360000
Changan,CS95 New,2809000
Changan,Eado Plus,1349000
Changan,Hunter Plus,2829000
Changan,Lamore,1869000
Changan,UNI-K,2779000
Changan,UNI-S,1709000
Changan,UNI-T,2199000
Changan,UNI-V,1809000
Chery,Arrizo 8,1299000
Chery,Tiggo 4,1399000
Chery,Tiggo 4 Pro,1390000
Chery,Tiggo 7 Pro Max,1319000
Chery,Tiggo 7 Pro Max New,1349000
Chery,Tiggo 7L,1549000
Chery,Tiggo 8 Pro Max New,2059000
Chery,Tiggo 9,3649000
Citroen,C5 Aircross,3199000
Citroen,C5 X,3599000
Dongfeng,DF6,2249000
Dongfeng,DFSK 500,1099000
Dongfeng,DFSK IX5,1390000
Dongfeng,DFSK IX7,2490000
Dongfeng,SK 580,1149000
Dongfeng,Shine Max,1399000
EXEED,LX,1909000
EXEED,LX New,2825000
EXEED,RX,3580000
EXEED,TXL New,2740000
EXEED,VX New,3490000
Gac,GS3,1199000
Gac,GS8 New,2690000
Gac,M8,5099000
Geely,Atlas,940000
Geely,Atlas New,1704000
Geely,Atlas Pro,1075090
Geely,Cityray,1499000
Geely,Coolray,850000
Geely,Coolray New,1115000
Geely,Emgrand,1333900
Geely,GS,859890
Geely,Monjaro,2899000
Geely,Monjaro New,3099000
Geely,Okavango,1854000
Geely,Okavango New,1899000
Geely,Preface,2302000
Geely,Preface New,1990000
Geely,Tugella,1620000
Geely,Tugella New,1950000
Haval,Dargo,2190000
Haval,Dargo X,2240000
Haval,F7,1120000
Haval,F7 New,1959000
Haval,F7x,1170000
Haval,F7x New,1409000
Haval,H3,1979000
Haval,H5 New,2859000
Haval,H6,1745000
Haval,H7 New,2449000
Haval,H9,3349000
Haval,H9 New,3790000
Haval,Jolion,1339000
Haval,Jolion New,1569000
Haval,M6,890000
Hyundai,Creta New,1320000
Hyundai,Elantra,1109000
Hyundai,Elantra New,1309000
Hyundai,Mufasa,1473000
Hyundai,Santa Fe New,4889000
Hyundai,Solaris,1130000
Hyundai,Sonata,1370000
Hyundai,Tucson,1644000
JAC,J7,1199000
JAC,JS3,1199000
JAC,JS6,1499000
JAC,T8,2099000
JAC,T8 Pro,2319000
JAECOO,J7,2520000
JAECOO,J8,3079000
Jetour,Dashing,2450000
Jetour,T2,2989000
Jetour,X50,1090000
Jetour,X70,1790000
Jetour,X70 Plus,1590900
Jetour,X90 Plus,2449000
KAIYI,E5,851000
KAIYI,X3,1055000
KAIYI,X3 Pro,1300000
KAIYI,X7 Kunlun,2150000
KIA,Carnival,4320000
KIA,Carnival New,6215460
KIA,Ceed,1349000
KIA,Ceed SW,1449000
KIA,Cerato,970000
KIA,K5,2049000
KIA,K5 New,2890000
KIA,Mohave,4390000
KIA,Picanto,1189000
KIA,Rio,1149000
KIA,Rio X,939000
KIA,Rio X-Line,730000
KIA,Seltos,1305000
KIA,Seltos New,1829900
KIA,Sorento,1781000
KIA,Sorento New,2960000
KIA,Soul,1209000
KIA,XCeed,1749000
Lada,4x4 Bronto,1290000
Lada,Aura,2599000
Lada,Granta Cross,975000
Lada,Granta Liftback,1097000
Lada,Granta Sedan New,916000
Lada,Largus Cross New,1239000
Lada,Largus Cross New 7 мест,1266000
Lada,Largus New,1060000
Lada,Largus New 7 мест,1149000
Lada,Largus Фургон,1329000
Lada,Niva Legend 3 двери,949000
Lada,Niva Legend 5 дверей,965000
Lada,Niva Travel,934000
Lada,Vesta Cross New,1336000
Lada,Vesta SW Cross New,1546000
Lada,Vesta SW New,1438000
Lada,Vesta Sedan New,1259100
Lada,Xray,842900
Lada,Xray Cross,969900
Livan,S6 Pro,1189000
Livan,X3 Pro,1266900
Livan,X6 Pro,1229000
MG,5,1199000
MG,6,1449000
MG,HS,3165000
MG,ZS,1889000
Mazda,6,2490000
Mazda,CX-5,1997000
Mazda,CX-9,2973000
Moskvich,3,1364000
Moskvich,6,2249000
Nissan,Murano,2819000
Nissan,Qashqai,1215000
Nissan,Terrano,1290000
Nissan,X-trail New,1470000
OMODA,C5,1689000
OMODA,C5 New,1679000
OMODA,C7,2354000
OMODA,S5,1099000
OMODA,S5 GT,1869900
Oting,Paladin,2790000
Peugeot,2008 New,2649000
Peugeot,4008,3299000
Peugeot,5008 New,3499000
Ravon,Gentra,1139000
Ravon,Nexia R3,1088400
Ravon,R2,1049000
Ravon,R4,1121500
Renault,Arkana,1050000
Renault,Duster,855000
Renault,Kaptur,1359000
Renault,Logan,871000
Renault,Logan Stepway,740000
Renault,Sandero,910000
Renault,Sandero Stepway,860000
SWM,G01,1249000
SWM,G01F,1390000
SWM,G05 Pro,1299000
Skoda,Karoq,1851000
Skoda,Kodiaq,2749000
Skoda,Octavia,2046000
Skoda,Rapid,1185000
Skoda,Superb,2751000
Solaris,HC,2293000
Solaris,HS,1320000
Solaris,KRS,1380000
Solaris,KRX,1481000
Soueast,S07,2249000
Soueast,S09,2739000
TANK,300,2649000
TANK,500,4899000
Toyota,Camry,2940000
Toyota,RAV4,3335000
UAZ,Patriot New,1499000
UAZ,Pickup New,1499000
Volkswagen,Jetta,1345000
Volkswagen,Passat,2438000
Volkswagen,Polo,1315000
