brand,model,min_price
BAIC,BJ40,3609000
BAIC,U5 Plus,1589000
BAIC,X35,1609000
BAIC,X55,1928500
Belgee,X50,1935990
Belgee,X70,1695714
Changan,Alsvin,1039900
Changan,CS35 Plus New,1589900
Changan,CS55,767000
Changan,CS55 Plus,1913900
Changan,CS75FL,1442900
Changan,CS85 Coupe,2389900
Changan,CS95,2999900
Changan,Eado Plus,1599900
Changan,Hunter Plus,2809900
Changan,Lamore,1989900
Changan,UNI-K,3279900
Changan,UNI-T,2109900
Changan,UNI-V,1919900
Chery,Arrizo 8,1960000
Chery,Tiggo 3,661900
Chery,Tiggo 4,867900
Chery,Tiggo 4 New,1631000
Chery,Tiggo 4 Pro,1079900
Chery,Tiggo 5,640900
Chery,Tiggo 7,987900
Chery,Tiggo 7 Pro,1137900
Chery,Tiggo 7 Pro Max,1559900
Chery,Tiggo 7 Pro Max New,1939000
Chery,Tiggo 8,1289900
Chery,Tiggo 8 Pro,1229900
Chery,Tiggo 8 Pro Max,3089900
Chery,Tiggo 8 Pro Max New,2912000
Chevrolet,Cobalt,617900
Chevrolet,Nexia,567900
Chevrolet,Spark,627900
DFM,580,1110000
DFM,AX7,1149000
EXEED,LX,1449900
EXEED,RX,4600000
EXEED,TXL,1449900
EXEED,VX,2515900
FAW,Bestune B70,1718000
FAW,Bestune T55,1678610
FAW,Bestune T77,1555000
FAW,Bestune T99,2490000
FAW,X40,898000
FAW,X80,938000
Gac,GS3,1379400
Gac,GS5,1574300
Gac,GS8,2729300
Geely,Atlas,1177990
Geely,Atlas New,2236493
Geely,Atlas Pro,1554990
Geely,Coolray,865990
Geely,Coolray New,1794990
Geely,Emgrand New,1799990
Geely,Emgrand X7,867990
Geely,GS,987990
Geely,Monjaro,3039000
Geely,Okavango New,2414993
Geely,Tugella New,1859990
Haval,Dargo,1789000
Haval,Dargo X,2709000
Haval,F7 New,1189000
Haval,F7x New,1259000
Haval,H3,1589400
Haval,H5,1137000
Haval,H5 New,2219400
Haval,H9,1863000
Haval,Jolion,1049000
Haval,Jolion New,1399300
Haval,M6,1349000
Hyundai,Creta New,979000
Hyundai,Elantra New,1067000
Hyundai,Solaris,685000
Hyundai,Sonata,1482000
Hyundai,Tucson New,1489000
JAC,J7,779000
JAC,S3,315000
JAC,S7,1199000
JAECOO,J7,2439900
JAECOO,J8,2669400
Jetour,Dashing,1529900
Jetour,T2,2631300
Jetour,X70 Plus,2099930
Jetour,X90 Plus,2439900
Jetta,VA3,890000
Jetta,VS5,1190000
Jetta,VS7,1349000
KAIYI,E5,1349000
KAIYI,X3,1417650
KAIYI,X3 Pro,1790000
KAIYI,X7 Kunlun,2098530
KIA,Ceed,1169900
KIA,Ceed SW,1289900
KIA,Cerato New,1234900
KIA,K5,1339000
KIA,Picanto New,739900
KIA,ProCeed,1534900
KIA,Rio New,629900
KIA,Rio X,847900
KIA,Rio X-Line,758900
KIA,Seltos,1002900
KIA,Soul,884900
KIA,Sportage 5,1829000
KIA,XCeed,962900
Lada,Granta Cross,354400
Lada,Granta Hatchback,368500
Lada,Granta Liftback,365500
Lada,Granta Sedan,348500
Lada,Granta Sedan Drive Active,412500
Lada,Granta Universal,340900
Lada,Largus Cross New,617900
Lada,Largus New,530000
Lada,Largus Фургон New,531000
Lada,Niva,587000
Lada,Niva Legend 3 двери,608900
Lada,Niva Legend 5 дверей,708900
Lada,Niva Off-Road,659000
Lada,Niva Travel,547000
Lada,Vesta Cross,969900
Lada,Vesta Cross New,1132900
Lada,Vesta SW,913900
Lada,Vesta SW Cross,1028900
Lada,Vesta SW Cross New,1109900
Lada,Vesta SW New,919900
Lada,Vesta Sedan,821900
Lada,Vesta Sedan CNG,1006900
Lada,Vesta Sedan New,829900
Lada,Vesta Sport,1297900
Lada,Xray,496900
Lada,Xray Cross,614000
Lifan,Murman,734000
Lifan,MyWay,689900
Lifan,Solano 2,466600
Lifan,X50,454000
Lifan,X60,485000
Lifan,X70,779000
Livan,S6 Pro,1784930
Livan,X3 Pro,1569900
Livan,X6 Pro,1840930
Moskvich,3,1170000
Moskvich,3e,3500000
Nissan,Murano,2039000
Nissan,Qashqai,1127000
Nissan,Terrano,619000
Nissan,X-trail,1486000
OMODA,C5,1319900
OMODA,S5,1449900
Ravon,Nexia R3,463000
Ravon,R2,484000
Ravon,R4,516000
Renault,Arkana,1014000
Renault,Duster New,755000
Renault,Kaptur,660000
Renault,Logan,573000
Renault,Logan Stepway,698000
Renault,Logan Stepway City,697000
Renault,Sandero,583000
Renault,Sandero Stepway,741000
Renault,Sandero Stepway City,721000
Skoda,Karoq,1547000
Skoda,Kodiaq New,1807000
Skoda,Octavia New,1247000
Skoda,Rapid,685000
Skoda,Superb,2128000
Skoda,Superb Combi,2421000
Solaris,HC,1749300
Solaris,HS,1407000
Solaris,KRS,1426600
Solaris,KRX,1444800
TANK,300,3189000
TANK,500,4599000
UAZ,Hunter,635000
UAZ,Patriot,709000
UAZ,Patriot Pickup,727000
Volkswagen,Jetta,1417000
Volkswagen,Passat,1829000
Volkswagen,Polo,662400
Volkswagen,Taos,1411900
Volkswagen,Tiguan New,1534900
Zotye,Coupa,1112600
