brand,model,min_price
BAIC,BJ40,1778600
BAIC,U5 Plus,813100
BAIC,X35,1479600
Belgee,X50,1243200
Changan,Alsvin,755100
Changan,CS35 Plus,668400
Changan,CS55,658400
Changan,CS55 Plus,1198100
Changan,CS75FL,968400
Changan,CS95,1878800
Changan,Eado Plus,2857500
Changan,UNI-K,2072600
Changan,UNI-T,1515800
Changan,UNI-V,1464100
Chery,Tiggo 4,939200
Chery,Tiggo 4 Pro,1290500
Chery,Tiggo 7,726300
Chery,Tiggo 7 Pro,1302800
Chery,Tiggo 7 Pro Max,1419800
Chery,Tiggo 8,1310800
Chery,Tiggo 8 Pro,1904100
Chery,Tiggo 8 Pro Max,1855200
Datsun,MI-DO,327000
Datsun,ON-DO,291000
Dongfeng,580,826300
Dongfeng,AX7,647700
EXEED,LX,2360000
EXEED,LX AWD,3140000
EXEED,TXL,852500
EXEED,TXL New,3980000
EXEED,VX,2651600
EXEED,VX LE,4990000
FAW,Bestune T55,1008800
FAW,Bestune T77,1099800
FAW,Bestune T99,851900
FAW,Besturn X80,474500
FAW,X40,902000
Forthing,T5 Evo,1221200
Forthing,Yacht,1696800
Gac,GN8,1498200
Gac,GS5,1181000
Gac,GS8,1129200
Geely,Atlas,730600
Geely,Atlas Pro,1518600
Geely,Coolray,1160600
Geely,Emgrand X7,738200
Geely,GS,709500
Geely,Monjaro,2954100
Geely,Tugella,2627600
Haval,Dargo,1725600
Haval,Dargo X,2459000
Haval,F7,1419300
Haval,F7x,1545600
Haval,H3 New,2549000
Haval,H5 New,3199000
Haval,H9,1974800
Haval,Jolion,1041300
Haval,M6,972200
Hyundai,Elantra,1182000
Hyundai,Solaris,778100
Hyundai,Sonata,2247400
Hyundai,Tucson,3019000
JAC,J7,1141800
JAC,JS6,1289800
JAC,S3,532500
JAC,S7,756200
JAC,T6,2199000
JAECOO,J7,1803300
Jetour,Dashing,1614400
Jetour,X70 Plus,1793500
Jetour,X90 Plus,1737600
Jetta,VA3,1118600
Jetta,VS5,1290000
Jetta,VS7,2059500
KAIYI,E5,1545000
KAIYI,X3,899900
KAIYI,X3 Pro,1040200
KIA,Ceed,1034900
KIA,Cerato,1483500
KIA,Picanto,655400
KIA,Rio,724000
KIA,Rio X,783400
KIA,Seltos,1414300
KIA,Sorento,2656200
KIA,Soul,1692700
KIA,Sportage,1644200
KIA,Sportage 5,2038100
Lada,Granta Cross,513900
Lada,Granta Drive Active,536700
Lada,Granta Hatchback,363000
Lada,Granta Liftback,576700
Lada,Granta Sedan,515700
Lada,Granta Universal,319300
Lada,Largus,825000
Lada,Largus 7 мест,875600
Lada,Largus Cross,902100
Lada,Largus Фургон,757700
Lada,Niva,642900
Lada,Niva Legend 3 двери,429900
Lada,Niva Legend 5 дверей,557000
Lada,Niva Legend Urban 3 двери,492900
Lada,Niva Legend Urban 5 дверей,430400
Lada,Niva Off-Road,724000
Lada,Niva Travel,635000
Lada,Vesta Cross,622700
Lada,Vesta SW,482800
Lada,Vesta SW Cross,476400
Lada,Vesta Sedan,394900
Lada,Vesta Sport,522900
Lada,Xray,340800
Lada,Xray Cross,457000
Livan,X3 Pro,1060700
MG,5,772000
MG,6,947300
MG,HS,1717500
Moskvich,3,1200000
Nissan,Qashqai,1827000
Nissan,Terrano,1290000
Nissan,X-trail,2252000
OMODA,C5,1361900
OMODA,S5,1066200
OMODA,S5 GT,1213700
Renault,Arkana,839900
Renault,Duster,945800
Renault,Kaptur,855800
Renault,Logan,431900
Renault,Logan Stepway,513100
Renault,Sandero,534900
Renault,Sandero Stepway,543300
SWM,G01F,1988340
Skoda,Karoq,1401300
Skoda,Kodiaq,1188700
Skoda,Octavia A8,3931500
Skoda,Rapid,1057000
Soueast,DX8S,2299900
TANK,300,3264400
TANK,500,3470500
UAZ,Hunter,880000
UAZ,Patriot,1040000
UAZ,Pickup,1065000
Volkswagen,Jetta,913700
Volkswagen,Passat,2184800
Volkswagen,Polo,921700
Volkswagen,Taos,1226500
Volkswagen,Tiguan,3019000
Zotye,Coupa,648400
