brand,model,min_price
BAIC,BJ40,3119000
BAIC,U5 Plus,1585000
BAIC,X35,1470000
BAIC,X55,2080000
BAIC,X7,2170000
Belgee,X50,751000
Belgee,X70,1054000
Brilliance,V3,429000
Brilliance,V5,599000
Changan,Alsvin,1299900
Changan,CS35 Plus,640300
Changan,CS35 Plus New,1289900
Changan,CS55,910300
Changan,CS55 Plus,1949900
Changan,CS75 Plus,2179000
Changan,CS75FL,1330300
Changan,CS85 Coupe,1979900
Changan,CS95,3409900
Changan,CS95 New,3439900
Changan,Eado Plus,1809900
Changan,Hunter Plus,2436000
Changan,Lamore,2119000
Changan,UNI-K,2959900
Changan,UNI-S,1399000
Changan,UNI-T,2289900
Changan,UNI-V,1999900
Chery,Arrizo 8,1549900
Chery,Tiggo 3,849900
Chery,Tiggo 4,526900
Chery,Tiggo 4 New,1080000
Chery,Tiggo 4 Pro,869900
Chery,Tiggo 5,1129900
Chery,Tiggo 7,850300
Chery,Tiggo 7 Pro,820300
Chery,Tiggo 7 Pro Max,1169900
Chery,Tiggo 7 Pro Max New,1247000
Chery,Tiggo 7 Pro Plug-In-Hybrid,2669000
Chery,Tiggo 8,1389900
Chery,Tiggo 8 New,1549900
Chery,Tiggo 8 Pro,1169900
Chery,Tiggo 8 Pro Max,1880900
Chery,Tiggo 8 Pro Max New,2189900
Chery,Tiggo 9,2905000
Chevrolet,Cobalt,953900
Chevrolet,Nexia,880900
Chevrolet,Spark,950900
Citroen,C5 Aircross,2589000
Citroen,C5 X,3009000
Dongfeng,AX7,710000
Dongfeng,DF6,1820000
Dongfeng,DFSK 500,1479000
Dongfeng,DFSK IX5,1670000
Dongfeng,DFSK IX7,2690000
Dongfeng,SK 580,1579000
Dongfeng,Shine Max,1479000
EXEED,LX,1469900
EXEED,RX,2939000
EXEED,TXL,1746000
EXEED,TXL New,2099900
EXEED,VX,3009900
EXEED,VX New,3116000
FAW,Bestune B70,1982000
FAW,Bestune T55,1949000
FAW,Bestune T77,2306000
FAW,Bestune T99,2475000
FAW,Besturn X40,957000
FAW,Besturn X80,1158000
FAW,X40,1392000
FAW,X80,1508000
Gac,GN8,1919000
Gac,GS3,1725000
Gac,GS5,1020000
Gac,GS8,1408000
Gac,GS8 New,2730000
Gac,M8,4124999
Geely,Atlas,1549290
Geely,Atlas New,1957990
Geely,Atlas Pro,1618990
Geely,Boyue,1794000
Geely,Cityray,1733200
Geely,Coolray,772300
Geely,Coolray New,1115000
Geely,Emgrand,1040000
Geely,Emgrand New,2009990
Geely,Emgrand X7,1209990
Geely,GS,699890
Geely,Monjaro,2159990
Geely,Monjaro New,3099000
Geely,Okavango,1854000
Geely,Okavango New,2067000
Geely,Preface,1462000
Geely,Preface New,1709990
Geely,Tugella,2249990
Geely,Tugella New,2359990
Haima,7X,3031900
Haima,8S,2579000
Haval,Dargo,1609000
Haval,Dargo X,1780000
Haval,F7,950000
Haval,F7 New,1150000
Haval,F7x,990000
Haval,F7x New,1310000
Haval,H3,1980000
Haval,H5,1529000
Haval,H5 New,1757000
Haval,H6,1595000
Haval,H9,2007000
Haval,H9 New,2207000
Haval,Jolion,935520
Haval,Jolion New,959520
Haval,M6,1509000
Hyundai,Creta,654000
Hyundai,Creta New,699300
Hyundai,Elantra,999900
Hyundai,Elantra New,1505000
Hyundai,Mufasa,2042000
Hyundai,Palisade,2899000
Hyundai,Palisade New,3872000
Hyundai,Santa Fe,2219000
Hyundai,Santa Fe New,5599000
Hyundai,Solaris,503000
Hyundai,Sonata,1130200
Hyundai,Sonata New,2214000
Hyundai,Staria,2390000
Hyundai,Tucson,1499000
Hyundai,Tucson New,2749000
JAC,J7,749000
JAC,JS3,833000
JAC,JS6,1650000
JAC,S3,809000
JAC,S7,989000
JAC,T6,1400000
JAC,T8 Pro,3149000
JAC,T9,3399000
JAECOO,J7,2249900
JAECOO,J8,3079000
Jetour,Dashing,1849900
Jetour,T2,2664000
Jetour,X50,1140000
Jetour,X70 Plus,1809900
Jetour,X90 Plus,2759900
Jetta,VA3,1858000
Jetta,VS5,2258000
Jetta,VS7,2879000
KAIYI,E5,1349000
KAIYI,X3,2117650
KAIYI,X3 Pro,2490000
KAIYI,X7 Kunlun,2298900
KIA,Carnival,2249900
KIA,Ceed,860300
KIA,Ceed SW,870300
KIA,Cerato,870300
KIA,Cerato New,2054900
KIA,K5,1070300
KIA,Mohave,4844900
KIA,Picanto,550745
KIA,Picanto New,1334900
KIA,ProCeed,1869900
KIA,Rio,510300
KIA,Rio New,1434900
KIA,Rio X,590300
KIA,Rio X-Line,557000
KIA,Seltos,970300
KIA,Seltos New,1375000
KIA,Sorento,1999900
KIA,Sorento New,2560000
KIA,Soul,571200
KIA,Sportage,1143000
KIA,Sportage 5,2849900
KIA,Sportage New,1949900
KIA,Stinger,2769900
KIA,XCeed,1004900
Knewstar,001,2615990
Lada,4x4 Bronto,761550
Lada,Aura,1378470
Lada,Granta Cross,437700
Lada,Granta Drive Active Liftback,565397
Lada,Granta Hatchback,413605
Lada,Granta Liftback,343700
Lada,Granta Sedan,398447
Lada,Granta Sedan Drive Active,387900
Lada,Granta Sedan New,321700
Lada,Granta Sport Liftback,789640
Lada,Granta Sport Liftback New,1289900
Lada,Granta Sport Sedan,768440
Lada,Granta Sportline,690530
Lada,Granta Sportline Liftback,711730
Lada,Granta Universal,351300
Lada,Largus,880800
Lada,Largus Cross,1071600
Lada,Largus Cross New,695300
Lada,Largus Cross New 7 мест,722300
Lada,Largus New,555300
Lada,Largus New 7 мест,582300
Lada,Largus Фургон,444300
Lada,Largus Фургон New,1301900
Lada,Niva,509482
Lada,Niva Legend 3 двери,520930
Lada,Niva Legend 5 дверей,488017
Lada,Niva Off-Road,568736
Lada,Niva Travel,697420
Lada,Niva Urban 3 двери,458443
Lada,Niva Urban 5 дверей,488070
Lada,Vesta Cross,634700
Lada,Vesta Cross New,876700
Lada,Vesta SW,612700
Lada,Vesta SW Cross,727700
Lada,Vesta SW Cross New,844700
Lada,Vesta SW New,789700
Lada,Vesta SW Sportline New,1295790
Lada,Vesta Sedan,525700
Lada,Vesta Sedan CNG,698957
Lada,Vesta Sedan New,712700
Lada,Vesta Sport,931700
Lada,Vesta Sportline,1205690
Lada,Xray,496700
Lada,Xray Cross,583700
Lifan,Murman,1019900
Lifan,MyWay,899900
Lifan,Solano 2,709900
Lifan,X50,689900
Lifan,X60,769900
Lifan,X70,989000
