brand,model,min_price
BAIC,BJ40,3084000
BAIC,U5 Plus,1344000
BAIC,U5 Plus CNG,1680392
BAIC,X35,1274175
BAIC,X55,2227500
BAIC,X7,2325000
BAIC,X75,2242500
Belgee,X50,1680693
Belgee,X70,2026493
Changan,Alsvin,1112000
Changan,CS35,659925
Changan,CS35 Plus,935900
Changan,CS35 Plus New,1691900
Changan,CS55,974900
Changan,CS55 Plus,1712000
Changan,CS75,787425
Changan,CS75 Plus,1576000
Changan,CS75FL,1154900
Changan,CS85 Coupe,2782425
Changan,CS95,3262425
Changan,CS95 New,3134925
Changan,Eado Plus,1392940
Changan,Hunter Plus,3013700
Changan,Lamore,1668940
Changan,UNI-K,2549925
Changan,UNI-K iDD Hybrid,3914925
Changan,UNI-S,2239900
Changan,UNI-T,1716940
Changan,UNI-V,2069925
Chery,Arrizo 8,1990000
Chery,Tiggo 2,679900
Chery,Tiggo 3,604900
Chery,Tiggo 4,739900
Chery,Tiggo 4 New,1747500
Chery,Tiggo 4 Pro,1024000
Chery,Tiggo 5,604400
Chery,Tiggo 7,742940
Chery,Tiggo 7 Pro,1008000
Chery,Tiggo 7 Pro Max,1380000
Chery,Tiggo 7 Pro Max New,1930000
Chery,Tiggo 7 Pro Plug-In-Hybrid,3000000
Chery,Tiggo 8,1199900
Chery,Tiggo 8 Pro,1312000
Chery,Tiggo 8 Pro Max,2670940
Chery,Tiggo 8 Pro Max New,2326000
Chery,Tiggo 8 Pro Plug-In-Hybrid,3637500
Chery,Tiggo 8 Pro e+,3697500
Chery,Tiggo 8 Pro e+ Hybrid,3451000
Chery,Tiggo 9,3562500
Chevrolet,Cobalt,599900
Chevrolet,Nexia,559900
Chevrolet,Spark,579900
DFM,580,2220000
DFM,AX7,471600
DWHover,H3,899250
Datsun,MI-DO,324000
Datsun,ON-DO,224000
Dongfeng,580,1605000
Dongfeng,580 New,1446750
Dongfeng,AX7,491600
Dongfeng,Aeolus Shine Max,1650000
Dongfeng,DFSK 500,1390000
Dongfeng,DFSK IX5,1792500
Dongfeng,DFSK IX7,2692500
Dongfeng,Shine Max,1649250
EXEED,LX,1824800
EXEED,LX New,2227890
EXEED,RX,3128000
EXEED,TXL,809960
EXEED,TXL New,3037500
EXEED,VX,3064000
EXEED,VX New,4200000
EXEED,VX Restyling,5464000
Evolute,i-SPACE,3460000
FAW,Bestune B70,1594600
FAW,Bestune B70 New,1874993
FAW,Bestune T55,1567300
FAW,Bestune T77,1307000
FAW,Bestune T90 New,2084993
FAW,Bestune T99,2212500
