brand,model,min_price
BAIC,U5 Plus,1439000
BAIC,X35,1459000
Changan,Alsvin,969900
Changan,CS35 Plus,1449900
Changan,CS55,767000
Changan,CS55 Plus,1773900
Changan,CS75FL,1432900
Changan,CS85 Coupe,2299900
Changan,Eado Plus,1499900
Changan,UNI-K,3039900
Changan,UNI-T,1969900
Changan,UNI-V,1779900
Chery,Arrizo 8,2454100
Chery,Tiggo 4,1021600
Chery,Tiggo 7,1168800
Chery,Tiggo 7 Pro,1523200
Chery,Tiggo 7 Pro Max,1519900
Chery,Tiggo 7 Pro Plug-In-Hybrid,2515000
Chery,Tiggo 8,1706900
Chery,Tiggo 8 Pro,1254900
Chery,Tiggo 8 Pro Max,3810000
Chery,Tiggo 8 Pro Plug-In-Hybrid,3050500
Chery,Tiggo 9,2987500
Dongfeng,580,1464000
Dongfeng,AX7,756980
Dongfeng,DF6,2040380
Dongfeng,DFSK 500,1358380
Dongfeng,DFSK IX5,1848800
Dongfeng,DFSK IX7,2468800
Dongfeng,Shine Max,1358380
EXEED,LX,1719900
EXEED,LX New,1833000
EXEED,RX,3267000
EXEED,TXL,1619900
EXEED,VX,2605900
FAW,Bestune B70,1658000
FAW,Bestune T55,1558610
FAW,Bestune T77,1455000
FAW,Besturn B70 New,2200990
FAW,Besturn T90,2480990
FAW,Besturn X40,584900
FAW,Besturn X80,945040
Gac,GN8,1855000
Gac,GS5,905000
Gac,GS8,1545000
Geely,Atlas,1994990
Geely,Atlas Pro,1494990
Geely,Coolray,1544990
Geely,Emgrand X7,867990
Geely,GS,987990
Geely,Monjaro,2979990
Geely,Tugella,1859990
Haval,Dargo,1819000
Haval,Dargo X,2269000
Haval,F7,1569000
Haval,F7x,1199000
Haval,H3,1695370
Haval,H9,1803000
Haval,Jolion,1149000
Haval,M6,1304400
Hyundai,Creta,919000
Hyundai,Elantra,1007000
Hyundai,Solaris,615000
Hyundai,Sonata,1432000
Hyundai,Tucson,1429000
JAC,J7,709000
JAC,JS3,1159370
JAC,JS6,2589000
JAC,T8,1726870
JAC,T8 Pro,1884370
JAC,T9,2010370
Jetour,Dashing,1609900
Jetour,T2,2252400
Jetour,X50,1288500
Jetour,X70 Plus,1796940
Jetour,X90 Plus,2509900
Jetta,VS5,473000
Jetta,VS7,1549000
KAIYI,E5,1209000
KAIYI,X3,1404940
KAIYI,X3 Pro,1579387
KAIYI,X7 Kunlun,1883677
Lada,Aura,1632370
Lada,Granta Cross,304400
Lada,Granta Hatchback,318500
Lada,Granta Liftback,315500
Lada,Granta Sedan,298500
Lada,Granta Universal,290900
Lada,Largus,480000
Lada,Largus Cross,567900
Lada,Niva Legend 3 двери,468900
Lada,Niva Legend 5 дверей,568900
Lada,Niva Off-Road,599000
Lada,Niva Travel,487000
Lada,Vesta Cross,1052900
Lada,Vesta SW,859900
Lada,Vesta SW Cross,1051900
Lada,Vesta Sedan,789900
Lifan,Murman,674000
Lifan,MyWay,639900
Lifan,Solano 2,426600
Lifan,X50,414000
Lifan,X60,435000
Lifan,X70,719000
Livan,S6 Pro,1601437
Livan,X3 Pro,1229900
Livan,X6 Pro,1651837
Moskvich,3,1170000
Moskvich,3e,3450000
OMODA,C5,1858900
OMODA,C5 New,1614037
OMODA,S5,1587900
OMODA,S5 GT,1557337
Renault,Arkana,954000
Renault,Duster,695000
Renault,Kaptur,614000
Renault,Logan,493000
Renault,Logan Stepway,628000
Renault,Logan Stepway City,697000
Renault,Sandero,523000
Renault,Sandero Stepway,681000
Renault,Sandero Stepway City,721000
Skoda,Karoq,1537000
Skoda,Kodiaq,1807000
Skoda,Octavia,1187000
Skoda,Rapid,615000
Skoda,Superb,2128000
Skoda,Superb Combi,2421000
Toyota,CH-R,1832000
Toyota,Corolla,1142000
Toyota,RAV4,1800000
UAZ,Hunter,585000
UAZ,Patriot,659000
UAZ,Pickup,677000
Volkswagen,Jetta,1265000
Volkswagen,Passat,1829000
Volkswagen,Polo,662400
Volkswagen,Taos,1406900
