brand,model,min_price
Changan,Alsvin,962500
Changan,CS35 Plus New,1286945
Changan,CS55,1204445
Changan,CS55 Plus,1446445
Changan,CS75,769945
Changan,CS75FL,1358445
Chery,Arrizo 8,1540000
Chery,Tiggo 4,1121945
Chery,Tiggo 4 New,1398000
Chery,Tiggo 4 Pro,1166000
Chery,Tiggo 7,676445
Chery,Tiggo 7 Pro,1413500
Chery,Tiggo 7 Pro Max,1551000
Chery,Tiggo 7 Pro Max New,1523500
Chery,Tiggo 8,1501500
Chery,Tiggo 8 Pro,1886500
Chery,Tiggo 8 Pro Max,2118050
Chery,Tiggo 8 Pro Max New,2288000
Chevrolet,Cobalt,524645
Chevrolet,Nexia,484495
Chevrolet,Spark,522995
DFM,580,1259500
DFM,AX7,675950
Datsun,MI-DO,304700
Datsun,ON-DO,292050
EXEED,LX,1683000
EXEED,TXL,2343000
EXEED,VX,3575000
FAW,Bestune B70,1347500
FAW,Bestune T55,1326050
FAW,Bestune T77,1575200
FAW,Bestune T99,1690150
FAW,X40,765600
FAW,X80,829400
Gac,GS3,1264450
Geely,Atlas,1225945
Geely,Atlas New,1757245
Geely,Atlas Pro,1520195
Geely,Belgee X50,1260045
Geely,Coolray,1289745
Geely,Coolray New,1435495
Geely,Emgrand New,1105495
Geely,Monjaro,2582245
Haval,Dargo,1676950
Haval,F7 New,1319450
Haval,F7x New,1346950
Haval,H2,620400
Haval,H3,1456770
Haval,H5,785950
Haval,H5 New,2034450
Haval,H6,631400
Haval,H9,2254450
Haval,Jolion,1071950
Haval,Jolion New,1099450
Haval,M6,1198450
Hyundai,Creta,1022450
Hyundai,Elantra,1181950
Hyundai,Solaris,774400
Hyundai,Sonata,1522950
Hyundai,Tucson,1511950
JAC,J7,1170950
JAC,S5,626450
JAC,S7,978450
JAECOO,J8,2446950
Jetour,T2,2255400
KAIYI,E5,1207250
KAIYI,X3,1230900
KAIYI,X3 Pro,1383195
KIA,Ceed,1234695
KIA,Ceed SW,1273195
KIA,Cerato,1130195
KIA,K5,1504195
KIA,Picanto,734195
KIA,ProCeed,1028445
KIA,Rio,789195
KIA,Rio X,866195
KIA,Rio X-Line,516945
KIA,Seltos,1077945
KIA,Sorento New,2084445
KIA,Soul,1006445
KIA,Sportage 5,1567445
KIA,XCeed,1449195
Lada,Granta Cross,520245
Lada,Granta Hatchback,428175
Lada,Granta Liftback,406945
Lada,Granta Sedan,384945
Lada,Granta Sedan Drive Active,569195
Lada,Granta Universal,395615
Lada,Largus,715495
Lada,Largus Cross,794145
Lada,Largus Фургон,716045
Lada,Niva Legend 3 двери,456445
Lada,Niva Legend 5 дверей,505395
Lada,Niva Travel,659395
Lada,Vesta Cross,698445
Lada,Vesta Cross New,953645
Lada,Vesta SW,667645
Lada,Vesta SW Cross,730895
Lada,Vesta SW Cross New,831545
Lada,Vesta SW New,731445
Lada,Vesta Sedan,617045
Lada,Vesta Sedan CNG,724295
Lada,Vesta Sedan New,681945
Lada,Vesta Sport,878845
Lada,Xray,608795
Lada,Xray Cross,687445
Lifan,Murman,560945
Lifan,MyWay,494945
Lifan,Solano 2,390445
Lifan,X50,379445
Lifan,X60,423445
Lifan,X70,543950
Livan,S6 Pro,1402445
Livan,X3 Pro,1033945
Livan,X6 Pro,1446445
Moskvich,3,1221000
Moskvich,3e,2172500
Nissan,Murano,2424950
Nissan,Qashqai,1285350
Nissan,Terrano,929500
Nissan,X-trail,1519100
OMODA,C5,1473945
OMODA,S5,1237445
Ravon,Nexia R3,453750
Ravon,R2,485650
Ravon,R4,468050
Renault,Arkana,1030700
Renault,Duster,889900
Renault,Kaptur,948200
Renault,Logan,618200
Renault,Logan Stepway,715550
Renault,Sandero,691900
Renault,Sandero Stepway,755150
Skoda,Karoq,1493800
Skoda,Kodiaq New,2002000
Skoda,Octavia,1437150
Skoda,Rapid,881100
Skoda,Superb,1862300
Solaris,HC,1374450
Solaris,HS,1105500
Solaris,KRS,1120900
Solaris,KRX,1135200
UAZ,Hunter,748000
UAZ,Patriot,822250
UAZ,Patriot Pickup,836000
Volkswagen,Jetta,894850
Volkswagen,Polo,891495
Volkswagen,Taos,1555895
Volkswagen,Tiguan,1856745
Zotye,Coupa,654280
